Unnamed: 0,LAC,SFO
First Downs,12,22
Rush-Yds-TDs,16-51-0,41-157-2
Cmp-Att-Yd-TD-INT,21-37-196-1-1,19-28-240-0-0
Sacked-Yards,3-9,1-10
Net Pass Yards,187,230
Total Yards,238,387
Fumbles-Lost,1-0,1-1
Turnovers,1,1
Penalties-Yards,1-5,5-52
Third Down Conv.,6-16,9-17
Fourth Down Conv.,0-1,1-1
Time of Possession,23:01,36:59
