Quarter,Time,Down,ToGo,Location,LAC,SFO,Detail,EPB,EPA
1,9:56,1,10,SFO 47,7,0,Christian McCaffrey up the middle for -1 yards (tackle by Sebastian Joseph-Day),2.060,1.380
1,9:17,2,11,SFO 46,7,0,Jimmy Garoppolo pass complete short left to Brandon Aiyuk for 5 yards (tackle by Asante Samuel),1.380,1.360
1,8:36,3,6,LAC 49,7,0,Jimmy Garoppolo pass complete short middle to Jauan Jennings for 7 yards (tackle by Michael Davis),1.360,2.790
1,7:56,1,10,LAC 42,7,0,Jimmy Garoppolo pass complete short middle to Brandon Aiyuk for 20 yards (tackle by Nasir Adderley and Michael Davis),2.790,4.110
1,7:07,1,10,LAC 22,7,0,Elijah Mitchell right guard for 7 yards (tackle by Otito Ogbonnia),4.110,4.650
1,6:29,2,3,LAC 15,7,0,Elijah Mitchell left guard for 2 yards (tackle by Derwin James),4.650,4.390
1,6:08,3,1,LAC 13,7,0,Elijah Mitchell up the middle for 4 yards (tackle by Kenneth Murray and Otito Ogbonnia),4.390,5.140
1,5:31,1,9,LAC 9,7,0,Jimmy Garoppolo pass incomplete short right intended for Deebo Samuel,5.140,4.380
1,5:25,2,9,LAC 9,7,0,Deebo Samuel up the middle for 7 yards (tackle by Christian Covington),4.380,4.950
1,4:45,3,2,LAC 2,7,0,Christian McCaffrey right guard for no gain (tackle by Drue Tranquill and Christian Covington),4.950,3.250
1,4:12,4,2,LAC 2,7,3,Robbie Gould 20 yard field goal good,3.250,3.000
1,4:10,,,SFO 35,7,3,"Robbie Gould kicks off 65 yards, returned by DeAndre Carter for 13 yards (tackle by Tarvarius Moore)",0.000,-0.320
1,4:07,1,10,LAC 13,7,3,Justin Herbert scrambles up the middle for 2 yards (tackle by Jordan Willis),-0.320,-0.570
1,3:23,2,8,LAC 15,7,3,Isaiah Spiller up the middle for 4 yards (tackle by Hassan Ridgeway and Azeez Al-Shaair),-0.570,-0.710
1,2:54,3,4,LAC 19,7,3,Justin Herbert pass complete deep left to Josh Palmer for 25 yards (tackle by Talanoa Hufanga),-0.710,1.860
1,2:16,1,10,LAC 44,7,3,Austin Ekeler right tackle for 2 yards (tackle by Dre Greenlaw),1.860,1.590
1,1:36,2,8,LAC 46,7,3,Justin Herbert pass complete short right to Austin Ekeler for 5 yards (tackle by Kerry Hyder),1.590,1.550
1,0:55,3,3,SFO 49,7,3,Justin Herbert pass incomplete short right intended for Josh Palmer,1.550,0.000
1,0:52,4,3,SFO 49,7,3,"JK Scott punts 32 yards, fair catch by Ray-Ray McCloud at SF-17",0.000,0.060
1,0:44,1,10,SFO 17,7,3,"Jimmy Garoppolo pass complete to Brandon Aiyuk for 18 yards. Brandon Aiyuk fumbles (forced by Derwin James), recovered by Asante Samuel at SF-35 and returned for 3 yards (tackle by George Kittle)",-0.060,-3.450
1,0:34,1,10,SFO 32,7,3,Justin Herbert pass incomplete short left intended for Austin Ekeler,3.450,2.900
1,0:29,2,10,SFO 32,7,3,Austin Ekeler right tackle for 3 yards (tackle by Fred Warner and Kevin Givens),2.900,2.610
Quarter,Time,Down,ToGo,Location,LAC,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,7,SFO 29,7,3,Justin Herbert pass incomplete deep left intended for Josh Palmer,2.610,1.500
2,14:56,4,7,SFO 29,10,3,Cameron Dicker 47 yard field goal good,1.500,3.000
2,14:52,,,LAC 35,10,3,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
2,14:52,1,10,SFO 25,10,3,Christian McCaffrey left end for -1 yards (tackle by Kenneth Murray and Khalil Mack),0.610,-0.070
2,14:13,2,11,SFO 24,10,3,Jimmy Garoppolo pass complete short middle to Brandon Aiyuk for 6 yards (tackle by Nasir Adderley and Derwin James),-0.070,0.040
2,13:47,3,5,SFO 30,10,3,"Jimmy Garoppolo pass incomplete short right intended for Christian McCaffrey. Penalty on Mike McGlinchey: Offensive Holding, 10 yards (declined)",0.040,-1.370
2,13:40,4,5,SFO 30,10,3,Mitch Wishnowsky punts 40 yards out of bounds,-1.370,-0.940
2,13:34,1,10,LAC 30,10,3,Isaiah Spiller right end for -1 yards (tackle by Jordan Willis and Kevin Givens),0.940,0.260
2,12:53,2,11,LAC 29,10,3,Justin Herbert pass incomplete short right intended for Michael Bandy (defended by Charvarius Ward),0.260,-0.430
2,12:50,3,11,LAC 29,10,3,Justin Herbert pass complete to Tre' McKitty for 5 yards (tackle by Jimmie Ward),-0.430,-1.110
2,12:17,4,6,LAC 34,10,3,JK Scott punts 42 yards downed by Amen Ogbongbemiga,-1.110,-0.540
2,12:08,1,10,SFO 24,10,3,Jimmy Garoppolo pass incomplete short left intended for Christian McCaffrey,0.540,0.000
2,12:03,2,10,SFO 24,10,3,Elijah Mitchell right tackle for 7 yards (tackle by Drue Tranquill),0.000,0.230
2,11:24,3,3,SFO 31,10,3,Jimmy Garoppolo scrambles right end for 2 yards (tackle by Drue Tranquill),0.230,-1.180
2,10:38,4,1,SFO 33,10,3,Mitch Wishnowsky punts 13 yards downed by Charlie Woerner,-1.180,-2.520
2,10:25,1,10,SFO 46,10,3,Justin Herbert pass complete to Austin Ekeler for 8 yards (tackle by Fred Warner and Dre Greenlaw),2.520,3.060
2,9:43,2,2,SFO 38,10,3,Justin Herbert pass complete to Zander Horvath for 1 yard (tackle by Dre Greenlaw),3.060,2.480
2,9:19,3,1,SFO 37,10,3,Justin Herbert up the middle for 2 yards (tackle by Hassan Ridgeway and Jordan Willis),2.480,3.250
2,8:46,1,10,SFO 35,10,3,Justin Herbert pass incomplete deep right intended for Tre' McKitty,3.250,2.700
2,8:38,2,10,SFO 35,10,3,Justin Herbert pass complete deep right to DeAndre Carter for 33 yards (tackle by Tashaun Gipson),2.700,6.740
2,8:03,1,2,SFO 2,10,3,Justin Herbert pass incomplete short right intended for Tre' McKitty,6.740,5.720
2,8:02,2,2,SFO 2,10,3,"Penalty on Foster Sarell: False Start, 5 yards (accepted) (no play)",5.720,4.760
2,8:02,2,7,SFO 7,10,3,Justin Herbert sacked by Nick Bosa for -1 yards,4.760,3.580
2,7:28,3,8,SFO 8,10,3,Justin Herbert pass complete short right to Austin Ekeler for 1 yard (tackle by Jimmie Ward),3.580,2.970
2,6:45,4,7,SFO 7,13,3,Cameron Dicker 25 yard field goal good,2.970,3.000
2,6:42,,,LAC 35,13,3,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
2,6:42,1,10,SFO 25,13,3,Elijah Mitchell up the middle for 3 yards (tackle by Breiden Fehoko and Sebastian Joseph-Day),0.610,0.470
2,5:53,2,7,SFO 28,13,3,"Penalty on SFO: Delay of Game, 5 yards (accepted) (no play)",0.470,-0.210
2,5:37,2,12,SFO 23,13,3,Jimmy Garoppolo pass incomplete short right intended for Deebo Samuel,-0.210,-0.890
2,5:33,3,12,SFO 23,13,3,Jimmy Garoppolo pass complete short middle to George Kittle for 21 yards (tackle by Alohi Gilman and Nasir Adderley),-0.890,1.860
2,4:51,1,10,SFO 44,13,3,"Jimmy Garoppolo pass complete to Ray-Ray McCloud for 33 yards (tackle by Troy Reeder). Penalty on Nasir Adderley: Illegal Contact, 5 yards (declined)",1.860,4.040
2,4:16,1,10,LAC 23,13,3,Jimmy Garoppolo pass complete short right to Christian McCaffrey for 6 yards (tackle by Kyle Van Noy),4.040,4.380
2,3:33,2,4,LAC 17,13,3,Jimmy Garoppolo pass complete short left to Christian McCaffrey for 12 yards (tackle by Derwin James),4.380,6.060
2,2:52,1,5,LAC 5,13,3,Christian McCaffrey up the middle for 3 yards (tackle by Drue Tranquill and Breiden Fehoko),6.060,5.720
2,2:06,,,,,,Timeout #1 by San Francisco 49ers,,
2,2:06,2,2,LAC 2,13,3,Christian McCaffrey up the middle for 1 yard (tackle by Sebastian Joseph-Day),5.720,5.170
2,2:00,3,1,LAC 1,13,9,"Jimmy Garoppolo for 1 yard, touchdown",5.170,7.000
2,1:57,,,LAC 15,13,10,Robbie Gould kicks extra point good,0.000,0.000
2,1:57,,,SFO 35,13,10,"Robbie Gould kicks off 65 yards, touchback.",0.000,0.610
2,1:57,1,10,LAC 25,13,10,Justin Herbert pass complete short left to Austin Ekeler for 1 yard (tackle by Dre Greenlaw),0.610,0.200
2,1:38,2,9,LAC 26,13,10,"Justin Herbert pass incomplete deep left intended for Josh Palmer. Penalty on Deommodore Lenoir: Defensive Pass Interference, 17 yards (accepted) (no play)",0.200,1.800
2,1:05,1,10,LAC 43,13,10,Justin Herbert pass complete short right to Austin Ekeler for 8 yards (tackle by Dre Greenlaw),1.800,2.330
2,1:15,2,2,SFO 49,13,10,Justin Herbert pass incomplete intended for Austin Ekeler (defended by Drake Jackson),2.330,1.620
2,1:09,3,2,SFO 49,13,10,Justin Herbert pass complete to DeAndre Carter for 5 yards (tackle by Charvarius Ward),1.620,2.650
2,0:48,1,10,SFO 44,13,10,"Justin Herbert sacked by Charles Omenihu for -7 yards. Justin Herbert fumbles (forced by Charles Omenihu), recovered by Jamaree Salyer at LAC-49 Replay Assistant challenged the fumble ruling, and the play was upheld.",2.650,1.170
2,0:45,,,,,,Timeout #1 by Los Angeles Chargers,,
2,0:45,2,17,LAC 49,13,10,Justin Herbert scrambles right guard for 11 yards (tackle by Jimmie Ward),1.170,1.950
2,0:38,,,,,,Timeout #2 by Los Angeles Chargers,,
2,0:38,3,6,SFO 40,13,10,Justin Herbert scrambles for 5 yards (tackle by Fred Warner),1.950,3.600
2,0:38,3,1,SFO 20,13,10,"Penalty on Dre Greenlaw: Disqualification / Defense, 15 yards (accepted) (no play)",3.600,4.240
2,0:30,1,10,SFO 20,13,10,Chase Daniel pass incomplete short right intended for Austin Ekeler,4.240,3.690
2,0:27,2,10,SFO 20,13,10,Chase Daniel pass incomplete short right intended for Austin Ekeler,3.690,3.010
2,0:24,3,10,SFO 20,13,10,Chase Daniel sacked by Jordan Willis for -1 yards,3.010,2.060
2,0:03,,,,,,Timeout #3 by Los Angeles Chargers,,
2,0:03,4,11,SFO 21,16,10,Cameron Dicker 40 yard field goal good,2.060,3.000
Quarter,Time,Down,ToGo,Location,LAC,SFO,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAC 35,16,10,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,SFO 25,16,10,Jimmy Garoppolo pass complete short left to Christian McCaffrey for 21 yards (tackle by Derwin James),0.610,1.990
3,14:27,1,10,SFO 46,16,10,Deebo Samuel right tackle for 15 yards (tackle by Derwin James and Kenneth Murray),1.990,2.980
3,13:49,1,10,LAC 39,16,10,Christian McCaffrey left end for 5 yards (tackle by Alohi Gilman),2.980,3.120
3,13:09,2,5,LAC 34,16,10,Christian McCaffrey up the middle for 4 yards (tackle by Drue Tranquill and Nasir Adderley),3.120,2.940
3,12:49,3,1,LAC 30,16,10,Jimmy Garoppolo up the middle for no gain (tackle by Drue Tranquill and Christian Covington),2.940,1.520
3,12:02,4,1,LAC 30,16,10,Jimmy Garoppolo up the middle for 1 yard (tackle by Christian Covington and Drue Tranquill),1.520,3.640
3,11:31,1,10,LAC 29,16,10,Christian McCaffrey up the middle for 12 yards (tackle by Alohi Gilman),3.640,4.440
3,10:54,1,10,LAC 17,16,10,Elijah Mitchell up the middle for 10 yards (tackle by Christian Covington and Drue Tranquill),4.440,5.600
3,10:18,1,7,LAC 7,16,10,Elijah Mitchell up the middle for no gain (tackle by Breiden Fehoko),5.600,4.760
3,9:44,2,7,LAC 7,16,10,Jimmy Garoppolo pass complete short right to Elijah Mitchell for -1 yards (tackle by Khalil Mack),4.760,3.580
3,9:03,3,8,LAC 8,16,10,Jimmy Garoppolo pass incomplete short left intended for Brandon Aiyuk,3.580,2.950
3,8:55,4,8,LAC 8,16,13,Robbie Gould 26 yard field goal good,2.950,3.000
3,8:52,,,SFO 35,16,13,"Robbie Gould kicks off 65 yards, touchback.",0.000,0.610
3,8:52,1,10,LAC 25,16,13,"Austin Ekeler up the middle for no gain (tackle by Jimmie Ward and Charles Omenihu). Penalty on Charles Omenihu: Defensive Offside, 5 yards (accepted) (no play)",0.610,1.340
3,8:46,1,5,LAC 30,16,13,Justin Herbert pass complete short left to Josh Palmer for 12 yards (tackle by Tashaun Gipson),1.340,1.730
3,8:02,1,10,LAC 42,16,13,Austin Ekeler right guard for 12 yards (tackle by Charvarius Ward and Tashaun Gipson),1.730,2.520
3,7:20,1,10,SFO 46,16,13,Sony Michel up the middle for 2 yards (tackle by Oren Burks),2.520,2.250
3,6:48,2,8,SFO 44,16,13,Justin Herbert pass incomplete short right,2.250,1.550
3,6:42,3,8,SFO 44,16,13,Justin Herbert pass incomplete short left intended for Josh Palmer (defended by Fred Warner),1.550,0.330
3,6:37,4,8,SFO 44,16,13,"JK Scott punts 44 yards, touchback.",0.330,-0.280
3,6:30,1,10,SFO 20,16,13,Elijah Mitchell left tackle for 8 yards (tackle by Drue Tranquill),0.280,0.810
3,5:54,2,2,SFO 28,16,13,Elijah Mitchell left tackle for 6 yards (tackle by Michael Davis and Derwin James),0.810,1.200
3,5:19,1,10,SFO 34,16,13,Jimmy Garoppolo sacked by Khalil Mack for -10 yards,1.200,-0.690
3,4:33,2,20,SFO 24,16,13,Jimmy Garoppolo pass incomplete short middle intended for Elijah Mitchell,-0.690,-1.350
3,4:25,3,20,SFO 24,16,13,Jimmy Garoppolo pass complete short left to Deebo Samuel for 16 yards (tackle by Alohi Gilman),-1.350,-0.720
3,3:44,4,4,SFO 40,16,13,Mitch Wishnowsky punts 39 yards out of bounds,-0.720,-0.340
3,3:38,1,10,LAC 21,16,13,Austin Ekeler left end for 2 yards (tackle by Fred Warner and Kerry Hyder),0.340,0.070
3,3:02,2,8,LAC 23,16,13,Justin Herbert pass complete short right to Josh Palmer for 7 yards (tackle by Tashaun Gipson and Deommodore Lenoir),0.070,0.300
3,2:29,3,1,LAC 30,16,13,Justin Herbert up the middle for 2 yards (tackle by Kerry Hyder),0.300,1.070
3,1:47,1,10,LAC 32,16,13,Isaiah Spiller right tackle for -1 yards (tackle by Nick Bosa),1.070,0.390
3,1:08,2,11,LAC 31,16,13,Justin Herbert pass complete short left to Austin Ekeler for 2 yards (tackle by Jimmie Ward),0.390,-0.030
3,0:29,3,9,LAC 33,16,13,Justin Herbert pass complete short right to Richard Rodgers for 4 yards (tackle by Talanoa Hufanga and Drake Jackson),-0.030,-0.910
Quarter,Time,Down,ToGo,Location,LAC,SFO,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,5,LAC 37,16,13,"JK Scott punts 40 yards, fair catch by Ray-Ray McCloud at SF-23",-0.910,-0.480
4,14:53,1,10,SFO 23,16,13,Deebo Samuel right end for 5 yards (tackle by Morgan Fox),0.480,0.610
4,14:07,2,5,SFO 28,16,13,Jimmy Garoppolo pass incomplete short right intended for Deebo Samuel,0.610,-0.100
4,14:02,3,5,SFO 28,16,13,Jimmy Garoppolo pass complete short left to Jauan Jennings for 11 yards,-0.100,1.530
4,13:54,1,10,SFO 39,16,13,"Christian McCaffrey left guard for no gain. Penalty on Jake Brendel: Offensive Holding, 10 yards (accepted) (no play)",1.530,0.870
4,13:18,1,20,SFO 29,16,13,Jimmy Garoppolo pass incomplete short right intended for Deebo Samuel,0.870,-0.360
4,13:13,2,20,SFO 29,16,13,Jimmy Garoppolo pass complete short right to Jauan Jennings for 12 yards (tackle by Drue Tranquill),-0.360,0.560
4,12:37,3,8,SFO 41,16,13,Jimmy Garoppolo pass complete short left to Jauan Jennings for 10 yards (tackle by Alohi Gilman and Nasir Adderley),0.560,2.320
4,12:02,1,10,LAC 49,16,13,Elijah Mitchell left guard for 9 yards (tackle by Derwin James),2.320,3.000
4,11:28,2,1,LAC 40,16,13,Elijah Mitchell left guard for 4 yards (tackle by Drue Tranquill and Derwin James),3.000,3.180
4,11:03,1,10,LAC 36,16,13,Elijah Mitchell left guard for 7 yards (tackle by Derrek Tuszka and Drue Tranquill),3.180,3.580
4,10:30,2,3,LAC 29,16,13,Elijah Mitchell up the middle for 3 yards (tackle by Morgan Fox and Drue Tranquill),3.580,3.840
4,9:51,1,10,LAC 26,16,13,Christian McCaffrey right guard for no gain (tackle by Michael Davis and Kenneth Murray),3.840,3.300
4,9:09,2,10,LAC 26,16,13,Jimmy Garoppolo pass complete short left to Christian McCaffrey for no gain (tackle by Derwin James),3.300,2.610
4,8:27,3,10,LAC 26,16,13,Jimmy Garoppolo pass complete short middle to Brandon Aiyuk for 24 yards (tackle by Alohi Gilman),2.610,6.740
4,8:00,1,2,LAC 2,16,19,"Christian McCaffrey left guard for 2 yards, touchdown. Penalty on Sebastian Joseph-Day: Defensive Offside, 5 yards (declined)",6.740,7.000
4,7:54,,,LAC 15,16,19,Robbie Gould kicks extra point no good,0.000,-1.000
4,7:54,,,SFO 35,16,19,"Robbie Gould kicks off 65 yards, touchback.",0.000,0.610
4,7:54,1,10,LAC 25,16,19,Justin Herbert pass complete short right to DeAndre Carter for -6 yards (tackle by Nick Bosa),0.610,-0.810
4,7:15,2,16,LAC 19,16,19,Justin Herbert pass incomplete short left intended for Austin Ekeler (defended by Fred Warner),-0.810,-1.510
4,7:10,3,16,LAC 19,16,19,Justin Herbert pass complete short right to Tre' McKitty for 9 yards (tackle by Azeez Al-Shaair),-1.510,-1.500
4,6:45,4,7,LAC 28,16,19,"JK Scott punts 42 yards, fair catch by Ray-Ray McCloud at SF-30",-1.500,-0.940
4,6:40,1,10,SFO 30,16,19,Elijah Mitchell up the middle for 12 yards (tackle by Nasir Adderley and Derwin James),0.940,1.730
4,5:59,1,10,SFO 42,16,19,Elijah Mitchell up the middle for 1 yard (tackle by Derwin James),1.730,1.320
4,5:17,2,9,SFO 43,16,19,Deebo Samuel right guard for no gain (tackle by Khalil Mack and Kyle Van Noy),1.320,0.630
4,4:35,3,9,SFO 43,16,19,Jimmy Garoppolo pass complete short right to Brandon Aiyuk for 11 yards (tackle by Michael Davis),0.630,2.520
4,3:51,1,10,LAC 46,16,19,Christian McCaffrey right end for -3 yards (tackle by Kenneth Murray),2.520,1.640
4,3:06,2,12,LAC 49,16,19,"Jimmy Garoppolo pass incomplete short right intended for George Kittle. Penalty on Jake Brendel: Ineligible Downfield Pass, 5 yards (declined)",1.640,0.890
4,2:58,3,13,LAC 49,16,19,Jimmy Garoppolo pass complete short left to Deebo Samuel for 8 yards (tackle by Bryce Callahan and Asante Samuel),0.890,0.530
4,2:11,4,5,LAC 41,16,19,Mitch Wishnowsky punts 40 yards downed by Samuel Womack,0.530,0.380
4,2:03,1,10,LAC 1,16,19,Justin Herbert pass incomplete short left,-0.380,-0.780
4,1:58,2,10,LAC 1,16,19,Justin Herbert pass incomplete short right intended for Tre' McKitty (defended by Fred Warner),-0.780,-1.420
4,1:54,3,10,LAC 1,16,19,Justin Herbert pass complete short left to Tre' McKitty for 7 yards (tackle by Fred Warner),-1.420,-2.490
4,1:23,4,3,LAC 8,16,19,Justin Herbert pass incomplete short left intended for Josh Palmer,-2.490,-5.370
4,1:17,1,8,LAC 8,16,19,Elijah Mitchell right guard for 6 yards (tackle by Michael Davis),5.370,5.720
4,1:11,,,,,,Timeout #1 by Los Angeles Chargers,,
4,1:11,2,2,LAC 2,16,19,Elijah Mitchell up the middle for 1 yard (tackle by Breiden Fehoko and Drue Tranquill),5.720,5.170
4,1:06,,,,,,Timeout #2 by Los Angeles Chargers,,
4,1:06,,,,,,Timeout #1 by San Francisco 49ers,,
4,1:06,3,1,LAC 1,16,19,Elijah Mitchell left guard for -1 yards (tackle by Sebastian Joseph-Day),5.170,3.250
4,1:01,,,,,,Timeout #3 by Los Angeles Chargers,,
4,1:01,,,,,,Timeout #2 by San Francisco 49ers,,
4,1:01,4,2,LAC 2,16,22,Robbie Gould 20 yard field goal good,3.250,3.000
4,0:58,,,SFO 35,16,22,"Robbie Gould kicks off 59 yards, returned by DeAndre Carter for 17 yards (tackle by Oren Burks and Demetrius Flannigan-Fowles)",0.000,0.480
4,0:53,1,10,LAC 23,16,22,Justin Herbert pass (defended by Charles Omenihu) intended for Josh Palmer is intercepted by Talanoa Hufanga at LAC-48 and returned for 6 yards (tackle by Austin Ekeler),0.480,-2.790
4,0:43,1,10,LAC 42,16,22,Jimmy Garoppolo kneels for -1 yards,2.790,2.110
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
