Quarter,Time,Tm,Detail,DET,LAR
1.0,12:07,Lions,D'Andre Swift 63 yard pass from Jared Goff (Austin Seibert kick),7,0
,7:28,Lions,Austin Seibert 37 yard field goal,10,0
,2:55,Rams,Matt Gay 33 yard field goal,10,3
2.0,13:40,Lions,Austin Seibert 47 yard field goal,13,3
,8:36,Rams,Van Jefferson 11 yard pass from Matthew Stafford (Matt Gay kick),13,10
,1:23,Rams,Cooper Kupp 2 yard pass from Matthew Stafford (Matt Gay kick),13,17
,0:04,Lions,Austin Seibert 41 yard field goal,16,17
3.0,1:43,Lions,Austin Seibert 31 yard field goal,19,17
4.0,13:59,Rams,Cooper Kupp 5 yard pass from Matthew Stafford (Robert Woods pass from Matthew Stafford),19,25
,0:58,Rams,Matt Gay 47 yard field goal,19,28
