Unnamed: 0,DET,LAR
First Downs,19,22
Rush-Yds-TDs,28-137-0,19-47-0
Cmp-Att-Yd-TD-INT,23-37-285-1-2,28-41-334-3-0
Sacked-Yards,2-7,1-7
Net Pass Yards,278,327
Total Yards,415,374
Fumbles-Lost,0-0,0-0
Turnovers,2,0
Penalties-Yards,8-77,4-35
Third Down Conv.,6-15,9-13
Fourth Down Conv.,2-3,0-1
Time of Possession,32:40,27:20
