Unnamed: 0,KAN,SDG
First Downs,23,17
Rush-Yds-TDs,39-194-2,28-159-1
Cmp-Att-Yd-TD-INT,17-30-155-2-2,16-34-213-2-2
Sacked-Yards,1-14,1-2
Net Pass Yards,141,211
Total Yards,335,370
Fumbles-Lost,1-0,1-1
Turnovers,2,3
Penalties-Yards,6-55,5-55
Third Down Conv.,5-12,5-13
Fourth Down Conv.,1-1,1-1
Time of Possession,33:19,26:41
