Player,Pos
Doug Flutie,QB
LaDainian Tomlinson,RB
Lorenzo Neal,FB
David Boston,TE
Justin Peelle,TE
Antonio Gates,TE
Damion McIntosh,LT
Kelvin Garmon,LG
Jason Ball,C
Phil Bogle,RG
Courtney Van Buren,RT
Marcellus Wiley,LDE
Jamal Williams,LDT
Jason Fisk,RDT
Adrian Dingle,RDE
Ben Leber,SLB
Zeke Moreno,MLB
Donnie Edwards,WLB
Quentin Jammer,LCB
Sammy Davis,RCB
Terrence Kiel,SS
Jerry Wilson,FS
