Quarter,Time,Down,ToGo,Location,PHI,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,PHI 30,0,0,"David Akers kicks off 65 yards, returned by Terrence Wilkins for 16 yards (tackle by Torrance Daniels)",0.000,0.340
1,14:57,1,10,IND 21,0,0,Dominic Rhodes right end for 3 yards (tackle by Trent Cole),0.340,0.210
1,14:23,2,7,IND 24,0,0,Peyton Manning pass incomplete short middle intended for Ben Utecht (defended by Jeremiah Trotter),0.210,-0.490
1,14:16,3,7,IND 24,0,0,Peyton Manning pass complete short left to Reggie Wayne for 17 yards (tackle by Jeremiah Trotter and Sean Considine),-0.490,1.660
1,13:35,1,10,IND 41,0,0,Peyton Manning pass complete short left to Reggie Wayne for 11 yards (tackle by Roderick Hood),1.660,2.390
1,13:11,1,10,PHI 48,0,0,Dominic Rhodes right end for 6 yards (tackle by Brian Dawkins),2.390,2.660
1,12:26,2,4,PHI 42,0,0,Dominic Rhodes right end for 5 yards (tackle by Jeremiah Trotter and Brian Dawkins),2.660,3.120
1,11:43,1,10,PHI 37,0,0,Peyton Manning pass complete short middle to Dominic Rhodes for 13 yards (tackle by Matt McCoy and Brian Dawkins),3.120,3.970
1,11:00,1,10,PHI 24,0,0,Joseph Addai right end for 9 yards (tackle by Brian Dawkins and Jeremiah Trotter),3.970,4.850
1,10:13,2,1,PHI 15,0,6,"Joseph Addai left end for 15 yards, touchdown",4.850,7.000
1,10:13,,,PHI 2,0,7,Adam Vinatieri kicks extra point good,0.000,0.000
1,10:06,,,IND 30,0,7,"Adam Vinatieri kicks off 65 yards, returned by Reno Mahe for 18 yards (tackle by Bo Schobel)",0.000,0.480
1,10:01,1,10,PHI 23,0,7,Brian Westbrook middle for 3 yards (tackle by Antoine Bethea),0.480,0.340
1,9:26,2,7,PHI 26,0,7,Brian Westbrook middle for 4 yards (tackle by Kelvin Hayden and Gary Brackett),0.340,0.170
1,8:46,3,3,PHI 30,0,7,Brian Westbrook for 10 yards (tackle by Jason David),0.170,1.600
1,8:08,1,10,PHI 40,0,7,Jeff Garcia pass complete short middle to Brian Westbrook for 11 yards (tackle by Gary Brackett),1.600,2.320
1,7:23,1,10,IND 49,0,7,Jeff Garcia pass incomplete short middle intended for Correll Buckhalter (defended by Gary Brackett),2.320,1.780
1,7:19,,,,0,7,Timeout #1 by Philadelphia Eagles,0.000,1.780
1,7:19,2,10,IND 49,0,7,Jeff Garcia pass complete short right to L.J. Smith for 8 yards (tackle by Gary Brackett),1.780,2.150
1,6:39,3,2,IND 41,0,7,Brian Westbrook right end for 2 yards (tackle by Rocky Boiman and Antoine Bethea),2.150,2.980
1,6:02,1,10,IND 39,0,7,Jeff Garcia pass complete short right to Donte' Stallworth for 1 yard (tackle by Antoine Bethea),2.980,2.580
1,5:23,2,9,IND 38,0,7,Brian Westbrook left tackle for 2 yards (tackle by Josh Thomas),2.580,2.150
1,4:39,3,7,IND 36,0,7,Jeff Garcia pass complete short right to Greg Lewis for 13 yards (tackle by Nick Harper),2.150,4.040
1,3:58,1,10,IND 23,0,7,Brian Westbrook left tackle for 4 yards (tackle by Robert Mathis),4.040,4.050
1,3:20,2,6,IND 19,0,7,Jeff Garcia pass complete short right to Brian Westbrook for 4 yards (tackle by Rocky Boiman),4.050,4.050
1,2:32,3,2,IND 15,0,7,Brian Westbrook right guard for -3 yards (tackle by Anthony McFarland and Cato June),4.050,2.300
1,1:53,4,5,IND 18,0,7,David Akers 36 yard field goal no good,2.300,-0.670
1,1:48,1,10,IND 26,0,7,Joseph Addai right end for no gain (tackle by Trent Cole),0.670,0.130
1,1:26,2,10,IND 26,0,7,Peyton Manning pass complete deep left to Reggie Wayne for 38 yards (tackle by Sheldon Brown),0.130,3.180
,,,,,,,"PHI challenged the ruling, and the play was upheld.",,
1,1:16,1,10,PHI 36,0,7,Joseph Addai right end for 11 yards (tackle by Sean Considine and Mike Patterson),3.180,3.910
1,0:27,1,10,PHI 25,0,7,Joseph Addai middle for 15 yards (tackle by Brian Dawkins),3.910,4.910
Quarter,Time,Down,ToGo,Location,PHI,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,PHI 10,0,13,"Joseph Addai left end for 10 yards, touchdown",4.910,7.000
2,15:00,,,PHI 2,0,14,Adam Vinatieri kicks extra point good,0.000,0.000
2,14:55,,,IND 30,0,14,"Adam Vinatieri kicks off 65 yards, returned by Reno Mahe for 49 yards (tackle by Tyjuan Hagler)",0.000,2.520
2,14:48,1,10,IND 46,0,14,Hank Baskett pass incomplete deep right intended for Brian Westbrook is intercepted by Nick Harper at IND-21 and returned for 19 yards,2.520,-1.600
2,14:36,1,10,IND 40,0,14,Peyton Manning pass complete short right to Dominic Rhodes for -1 yards (tackle by Jeremiah Trotter),1.600,0.920
2,13:51,2,11,IND 39,0,14,Peyton Manning pass complete short middle to Ben Utecht for 10 yards (tackle by Dhani Jones),0.920,1.550
2,13:10,3,1,IND 49,0,14,Joseph Addai for 8 yards (tackle by Matt McCoy),1.550,2.720
2,12:43,1,10,PHI 43,0,14,Dominic Rhodes right end for -4 yards (tackle by Jeremiah Trotter),2.720,1.640
2,12:05,2,14,PHI 47,0,14,"Penalty on Charlie Johnson: False Start, 5 yards (no play)",1.640,0.960
