Unnamed: 0,DET,MIN
First Downs,20,19
Rush-Yds-TDs,20-58-1,35-164-1
Cmp-Att-Yd-TD-INT,28-48-263-1-2,15-22-136-2-0
Sacked-Yards,4-32,3-15
Net Pass Yards,231,121
Total Yards,289,285
Fumbles-Lost,1-1,1-1
Turnovers,3,1
Penalties-Yards,6-31,3-18
Third Down Conv.,9-17,3-12
Fourth Down Conv.,0-1,0-0
Time of Possession,30:21,29:39
