Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Tyreek Hill,MIA,13,9,69,1,4,62,6.9,7,0.8,6.3,0,,1,7.7,0,107.5
Jaylen Waddle,MIA,7,3,114,1,3,66,22.0,48,16.0,16.3,0,,0,0.0,0,129.5
Cedrick Wilson Jr.,MIA,2,1,21,0,1,17,17.0,4,4.0,15.0,0,,0,0.0,0,87.5
Mike Gesicki,MIA,1,1,5,0,,3,3.0,2,2.0,3.0,0,,0,0.0,0,87.5
Alec Ingold,MIA,2,1,7,0,0,-1,-1.0,8,8.0,-3.5,0,,1,50.0,0,58.3
Durham Smythe,MIA,1,1,-2,0,,-2,-2.0,0,0.0,-2.0,0,,0,0.0,0,79.2
Raheem Mostert,MIA,2,1,20,0,1,0,0.0,20,20.0,-1.5,0,,0,0.0,0,85.4
Braylon Sanders,MIA,1,0,0,0,,0,,0,,28.0,0,,0,0.0,0,39.6
Trent Sherfield,MIA,1,0,0,0,,0,,0,,3.0,0,,1,100.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Dawson Knox,BUF,8,6,98,1,4,60,10.0,38,6.3,10.8,2,3.0,2,25.0,0,155.2
Stefon Diggs,BUF,9,5,60,0,4,49,9.8,11,2.2,12.1,0,,1,11.1,0,76.2
Gabriel Davis,BUF,6,4,56,0,2,52,13.0,4,1.0,14.5,0,,0,0.0,0,96.5
Devin Singletary,BUF,4,3,28,0,1,-1,-0.3,29,9.7,-1.3,0,,0,0.0,0,93.7
Isaiah McKenzie,BUF,5,2,24,0,2,24,12.0,0,0.0,15.8,0,,0,0.0,0,55.4
James Cook,BUF,3,2,5,1,1,5,2.5,0,0.0,4.7,0,,0,0.0,0,109.7
Quintin Morris,BUF,1,1,14,1,1,14,14.0,0,0.0,14.0,0,,0,0.0,0,158.3
Cole Beasley,BUF,1,1,9,0,,9,9.0,0,0.0,9.0,0,,0,0.0,0,104.2
Nyheim Hines,BUF,1,1,10,1,1,1,1.0,9,9.0,1.0,0,,0,0.0,0,147.9
