Unnamed: 0,MIA,BUF
First Downs,20,29
Rush-Yds-TDs,25-188-1,29-150-0
Cmp-Att-Yd-TD-INT,17-30-234-2-0,25-40-304-4-0
Sacked-Yards,2-17,2-8
Net Pass Yards,217,296
Total Yards,405,446
Fumbles-Lost,1-0,2-1
Turnovers,0,1
Penalties-Yards,8-51,7-51
Third Down Conv.,5-14,8-14
Fourth Down Conv.,1-1,0-0
Time of Possession,30:07,29:53
