Unnamed: 0,BAL,PIT
First Downs,19,22
Rush-Yds-TDs,25-53-1,19-68-0
Cmp-Att-Yd-TD-INT,18-29-259-2-0,33-48-356-1-2
Sacked-Yards,1-13,5-37
Net Pass Yards,246,319
Total Yards,299,387
Fumbles-Lost,2-1,2-1
Turnovers,1,3
Penalties-Yards,2-14,8-114
Third Down Conv.,4-11,5-16
Fourth Down Conv.,1-1,2-3
Time of Possession,24:43,35:17
