Unnamed: 0,NYG,PHI
First Downs,15,17
Rush-Yds-TDs,27-84-0,30-130-1
Cmp-Att-Yd-TD-INT,23-44-118-1-2,17-29-199-2-0
Sacked-Yards,2-10,1-5
Net Pass Yards,108,194
Total Yards,192,324
Fumbles-Lost,1-0,2-0
Turnovers,2,0
Penalties-Yards,6-40,11-79
Third Down Conv.,8-20,5-13
Fourth Down Conv.,1-2,0-1
Time of Possession,30:52,29:08
