Quarter,Time,Tm,Detail,SEA,STL
1.0,9:36,Rams,Torry Holt 9 yard pass from Marc Bulger (Jeff Wilkins kick),0,7
,4:30,Seahawks,Deion Branch 14 yard pass from Matt Hasselbeck (Josh Brown kick),7,7
2.0,13:02,Rams,Steven Jackson 2 yard rush (Jeff Wilkins kick),7,14
,2:41,Rams,Torry Holt 10 yard pass from Marc Bulger (Jeff Wilkins kick),7,21
3.0,4:28,Seahawks,Darrell Jackson 42 yard pass from Matt Hasselbeck (Josh Brown kick),14,21
4.0,14:21,Seahawks,Josh Brown 49 yard field goal,17,21
,13:33,Seahawks,Deion Branch 19 yard pass from Matt Hasselbeck (Josh Brown kick),24,21
,10:33,Seahawks,Josh Brown 49 yard field goal,27,21
,1:44,Rams,Torry Holt 67 yard pass from Marc Bulger (Jeff Wilkins kick),27,28
,0:00,Seahawks,Josh Brown 54 yard field goal,30,28
