Unnamed: 0,CHI,PHI
First Downs,8,24
Rush-Yds-TDs,14-6-0,33-176-0
Cmp-Att-Yd-TD-INT,17-33-147-0-2,26-39-248-3-0
Sacked-Yards,2-13,1-4
Net Pass Yards,134,244
Total Yards,140,420
Fumbles-Lost,2-0,4-3
Turnovers,2,3
Penalties-Yards,9-56,11-70
Third Down Conv.,3-13,7-16
Fourth Down Conv.,0-2,3-4
Time of Possession,22:52,37:08
