Quarter,Time,Down,ToGo,Location,CHI,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss and deferred, Eagles to receive the opening kickoff.",,
1,15:00,,,CHI 35,0,0,"Cairo Santos kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,PHI 25,0,0,Carson Wentz pass complete short right to Alshon Jeffery for 5 yards (tackle by Kyle Fuller),0.610,0.740
1,14:22,2,5,PHI 30,0,0,Carson Wentz pass complete short left to Zach Ertz for 8 yards (tackle by Eddie Jackson),0.740,1.470
1,13:56,1,10,PHI 38,0,0,LeGarrette Blount middle for 13 yards (tackle by Adrian Amos),1.470,2.320
1,13:30,1,10,CHI 49,0,0,LeGarrette Blount right tackle for -2 yards (tackle by Akiem Hicks),2.320,1.510
1,12:50,2,12,PHI 49,0,0,LeGarrette Blount middle for -1 yards (tackle by Akiem Hicks),1.510,0.700
1,12:15,3,13,PHI 48,0,0,"Penalty on Lane Johnson: False Start, 5 yards (no play)",0.700,0.040
1,11:51,3,18,PHI 43,0,0,Carson Wentz pass complete short left to Torrey Smith for 7 yards (tackle by Cre'von LeBlanc and Sam Acho),0.040,-0.060
1,11:18,4,11,,0,0,"Donnie Jones punts 41 yards. Penalty on Marcus Cooper: Offensive Holding, 4 yards",-0.060,0.380
1,11:07,1,10,CHI 5,0,0,Mitch Trubisky pass complete short left to Adam Shaheen for 1 yard (tackle by Ronald Darby),-0.380,-0.710
1,10:33,2,9,CHI 6,0,0,Jordan Howard middle for 4 yards (tackle by Timmy Jernigan and Nigel Bradham),-0.710,-0.840
1,9:53,3,5,CHI 10,0,0,Mitch Trubisky pass incomplete short right intended for Kendall Wright,-0.840,-2.490
1,9:47,4,5,CHI 10,0,0,"Pat O'Donnell punts 34 yards, out of bounds",-2.490,-2.650
1,9:40,1,10,CHI 44,0,0,Carson Wentz pass incomplete short right intended for Jay Ajayi,2.650,2.110
1,9:34,2,10,CHI 44,0,0,Jay Ajayi right end for no gain (tackle by Christian Jones),2.110,1.420
1,8:55,3,10,CHI 44,0,0,Carson Wentz pass complete short left to Zach Ertz for 9 yards (tackle by Cre'von LeBlanc),1.420,1.000
1,8:12,4,1,CHI 35,0,0,Jay Ajayi left end for 2 yards (tackle by Adrian Amos),1.000,3.380
1,7:32,1,10,CHI 33,0,0,Carson Wentz pass complete short right to Zach Ertz for 2 yards (tackle by Christian Jones),3.380,3.110
1,6:46,2,8,CHI 31,0,0,Carson Wentz pass incomplete short left intended for Torrey Smith (defended by Prince Amukamara),3.110,2.410
1,6:42,3,8,CHI 31,0,0,Carson Wentz pass complete short right to Alshon Jeffery for 14 yards,2.410,4.440
1,6:09,1,10,CHI 17,0,6,"Carson Wentz pass complete deep middle to Zach Ertz for 17 yards, touchdown",4.440,7.000
1,6:04,,,CHI 15,0,7,Jake Elliott kicks extra point good,0.000,0.000
1,6:04,,,PHI 35,0,7,"Jake Elliott kicks off 56 yards, out of bounds",0.000,-1.600
1,6:04,1,10,CHI 40,0,7,"Mitch Trubisky pass incomplete short left intended for Dontrelle Inman is intercepted by Malcolm Jenkins at 50 and returned for 2 yards. Malcolm Jenkins fumbles (forced by Dion Sims), recovered by Tre McBride (tackle by Mychal Kendricks)",1.600,2.260
1,5:53,1,10,,0,7,Jordan Howard middle for 1 yard (tackle by Timmy Jernigan),2.260,1.850
1,5:19,2,9,PHI 49,0,7,Mitch Trubisky pass complete short left to Tarik Cohen for 7 yards (tackle by Ronald Darby),1.850,2.080
1,4:48,3,2,PHI 42,0,7,Jordan Howard middle for -1 yards (tackle by Brandon Graham and Timmy Jernigan),2.080,0.400
1,4:07,4,3,PHI 43,0,7,Pat O'Donnell punts 36 yards,0.400,0.380
