Quarter,Time,Tm,Detail,CHI,PHI
1.0,6:04,Eagles,Zach Ertz 17 yard pass from Carson Wentz (Jake Elliott kick),0,7
2.0,10:52,Eagles,Nelson Agholor 15 yard pass from Carson Wentz (Jake Elliott kick),0,14
,6:52,Eagles,Jake Elliott 45 yard field goal,0,17
,0:05,Eagles,Alshon Jeffery 8 yard pass from Carson Wentz (Jake Elliott kick),0,24
3.0,8:40,Bears,Cairo Santos 38 yard field goal,3,24
4.0,13:37,Eagles,Nelson Agholor 1 yard fumble return (Jake Elliott kick),3,31
