Unnamed: 0,WAS,NYG
First Downs,16,10
Rush-Yds-TDs,37-226-1,25-94-0
Cmp-Att-Yd-TD-INT,9-18-120-0-0,15-31-103-1-2
Sacked-Yards,3-21,3-20
Net Pass Yards,99,83
Total Yards,325,177
Fumbles-Lost,2-0,1-1
Turnovers,0,3
Penalties-Yards,3-29,3-21
Third Down Conv.,3-13,6-17
Fourth Down Conv.,1-1,2-4
Time of Possession,32:17,27:43
