Quarter,Time,Tm,Detail,WAS,NYG
1.0,9:03,Football Team,Joey Slye 23 yard field goal,3,0
2.0,0:00,Football Team,Joey Slye 43 yard field goal,6,0
3.0,3:41,Football Team,Bobby McCain 30 yard interception return (pass failed),12,0
4.0,11:24,Giants,Darius Slayton 22 yard pass from Jake Fromm (Graham Gano kick),12,7
,6:28,Football Team,Antonio Gibson 18 yard rush (Joey Slye kick),19,7
,4:40,Football Team,Joey Slye 23 yard field goal,22,7
