Quarter,Time,Tm,Detail,NWE,BUF
1.0,14:48,Patriots,Jalen Reagor 98 yard kickoff return (Chad Ryland kick),7,0
,12:07,Bills,Tyler Bass 35 yard field goal,7,3
,6:37,Bills,Josh Allen 1 yard rush (Tyler Bass kick),7,10
,2:16,Bills,Tyler Bass 24 yard field goal,7,13
2.0,12:36,Bills,Rasul Douglas 40 yard interception return (Tyler Bass kick),7,20
,9:44,Patriots,Bailey Zappe 17 yard rush (Chad Ryland kick),14,20
3.0,10:42,Bills,Josh Allen 1 yard rush (Tyler Bass kick),14,27
4.0,11:01,Patriots,Ezekiel Elliott 6 yard rush (Chad Ryland kick),21,27
