Unnamed: 0,NWE,BUF
First Downs,16,19
Rush-Yds-TDs,24-103-2,37-127-2
Cmp-Att-Yd-TD-INT,16-26-209-0-3,15-30-169-0-1
Sacked-Yards,3-18,1-15
Net Pass Yards,191,154
Total Yards,294,281
Fumbles-Lost,1-1,2-0
Turnovers,4,1
Penalties-Yards,2-20,4-32
Third Down Conv.,4-10,7-15
Fourth Down Conv.,0-0,0-0
Time of Possession,27:08,32:52
