Unnamed: 0,NOR,IND
First Downs,20,23
Rush-Yds-TDs,18-51-0,19-99-1
Cmp-Att-Yd-TD-INT,32-39-288-2-0,31-45-333-1-1
Sacked-Yards,1-7,0-0
Net Pass Yards,281,333
Total Yards,332,432
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,3-19,5-45
Third Down Conv.,3-9,6-13
Fourth Down Conv.,0-1,1-2
Time of Possession,30:11,29:49
