Quarter,Time,Tm,Detail,BUF,GNB
2,3:57,Packers,Ryan Longwell 33 yard field goal,0,3
4,7:23,Packers,Donald Driver 11 yard pass from Brett Favre (Ryan Longwell kick),0,10
