Unnamed: 0,BUF,GNB
First Downs,17,14
Rush-Yds-TDs,24-43-0,30-119-0
Cmp-Att-Yd-TD-INT,18-36-179-0-2,15-33-114-1-2
Sacked-Yards,6-37,2-10
Net Pass Yards,142,104
Total Yards,185,223
Fumbles-Lost,6-4,2-0
Turnovers,6,2
Penalties-Yards,2-10,3-25
Third Down Conv.,3-12,5-15
Fourth Down Conv.,0-0,0-1
Time of Possession,31:52,28:08
