Unnamed: 0,BAL,CHI
First Downs,23,14
Rush-Yds-TDs,34-123-1,20-92-0
Cmp-Att-Yd-TD-INT,26-36-219-0-1,15-34-280-2-0
Sacked-Yards,6-43,3-19
Net Pass Yards,176,261
Total Yards,299,353
Fumbles-Lost,1-0,1-1
Turnovers,1,1
Penalties-Yards,6-36,6-58
Third Down Conv.,7-16,2-11
Fourth Down Conv.,1-1,2-3
Time of Possession,38:50,21:10
