Quarter,Time,Tm,Detail,BAL,CHI
2.0,2:11,Ravens,Justin Tucker 35 yard field goal,3,0
,0:02,Ravens,Justin Tucker 27 yard field goal,6,0
3.0,8:02,Bears,Darnell Mooney 60 yard pass from Andy Dalton (Cairo Santos kick),6,7
4.0,3:41,Ravens,Justin Tucker 46 yard field goal,9,7
,1:41,Bears,Marquise Goodwin 49 yard pass from Andy Dalton (pass failed),9,13
,0:22,Ravens,Devonta Freeman 3 yard rush (Justin Tucker kick),16,13
