Unnamed: 0,JAX,IND
First Downs,23,15
Rush-Yds-TDs,37-188-2,20-96-0
Cmp-Att-Yd-TD-INT,18-27-330-1-0,22-37-200-0-0
Sacked-Yards,1-0,10-64
Net Pass Yards,330,136
Total Yards,518,232
Fumbles-Lost,3-2,2-0
Turnovers,2,0
Penalties-Yards,4-34,5-55
Third Down Conv.,8-14,5-15
Fourth Down Conv.,0-1,0-3
Time of Possession,32:47,27:13
