Quarter,Time,Tm,Detail,JAX,IND
1.0,9:30,Jaguars,Chris Ivory 1 yard rush (Josh Lambo kick),7,0
,5:01,Jaguars,Marcedes Lewis 5 yard pass from Blake Bortles (Josh Lambo kick),14,0
2.0,7:38,Jaguars,Josh Lambo 42 yard field goal,17,0
,1:56,Jaguars,Josh Lambo 33 yard field goal,20,0
3.0,5:58,Jaguars,T.J. Yeldon 58 yard rush (Josh Lambo kick),27,0
