Quarter,Time,Down,ToGo,Location,BAL,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,BAL 30,0,0,"Matt Stover kicks off 65 yards, returned by Miles Austin for 26 yards (tackle by Tom Zbikowski)",0.000,1.000
1,14:55,1,10,DAL 31,0,0,Tony Romo pass complete short right to Tashard Choice for 7 yards (tackle by Bart Scott),1.000,1.410
1,14:30,2,3,DAL 38,0,0,Tashard Choice up the middle for 4 yards (tackle by Justin Bannan and Terrell Suggs),1.410,1.730
1,13:45,1,10,DAL 42,0,0,Tashard Choice right end for 7 yards (tackle by Fabian Washington),1.730,2.130
1,13:00,2,3,DAL 49,0,0,Tony Romo pass incomplete deep middle is intercepted by Ed Reed at BAL-8,2.130,0.380
1,12:49,1,10,BAL 8,0,0,"Joe Flacco pass incomplete deep middle intended for Todd Heap. Penalty on Lorenzo Neal: Offensive Holding, 4 yards (no play)",-0.380,-0.530
1,12:41,1,14,BAL 4,0,0,Le'Ron McClain right tackle for 5 yards (tackle by Jay Ratliff),-0.530,-0.710
1,12:02,2,9,BAL 9,0,0,"Joe Flacco sacked by DeMarcus Ware for -6 yards. Joe Flacco fumbles (forced by DeMarcus Ware), recovered by Greg Ellis at BAL-4",-0.710,-6.280
1,11:56,1,4,BAL 4,0,0,Tashard Choice up the middle for 2 yards (tackle by Jarret Johnson),6.280,5.720
1,11:12,2,2,BAL 2,0,0,Tony Romo pass incomplete short middle intended for Terrell Owens,5.720,4.950
1,11:08,3,2,BAL 2,0,6,"Tashard Choice up the middle for 2 yards, touchdown",4.950,7.000
1,,,,BAL 2,0,7,Nick Folk kicks extra point good,0.000,0.000
1,,,,DAL 30,0,7,"Nick Folk kicks off 63 yards, returned by Yamon Figurs for 7 yards (tackle by Tra Battle). Penalty on Steve Octavien: Unnecessary Roughness, 15 yards",0.000,0.870
1,10:57,1,10,BAL 29,0,7,"Penalty on Jared Gaither: False Start, 5 yards (no play)",0.870,0.540
1,10:57,1,15,BAL 24,0,7,Joe Flacco pass complete short right to Mark Clayton for 11 yards (tackle by Keith Davis),0.540,1.140
1,10:57,2,4,BAL 35,0,7,Le'Ron McClain right tackle for 1 yard (tackle by Jay Ratliff and Marcus R. Spears),1.140,0.560
1,10:04,3,3,BAL 36,0,7,"Joe Flacco pass incomplete short left intended for Derrick Mason (defended by Pacman Jones). Penalty on DeMarcus Ware: Defensive Offside, 5 yards (no play)",0.560,1.660
1,10:04,1,10,BAL 41,0,7,Joe Flacco pass complete short middle to Mark Clayton for 13 yards (tackle by Terence Newman),1.660,2.520
1,9:23,1,10,DAL 46,0,7,Joe Flacco pass complete short left to Derrick Mason for 9 yards (tackle by Anthony Henry),2.520,3.190
1,8:55,2,1,DAL 37,0,7,Lorenzo Neal right guard for 5 yards (tackle by Bradie James and Anthony Spencer),3.190,3.450
1,8:20,1,10,DAL 32,0,7,Willis McGahee right end for 3 yards (tackle by Keith Davis),3.450,3.310
1,7:36,2,7,DAL 29,0,7,"Joe Flacco pass incomplete deep right intended for Todd Heap. Penalty on Keith Davis: Defensive Pass Interference, 21 yards (no play)",3.310,5.370
1,7:28,1,8,DAL 8,0,7,Joe Flacco sacked by Bradie James for 0 yards,5.370,4.570
1,7:08,2,8,DAL 8,0,7,Le'Ron McClain up the middle for 1 yard (tackle by Marcus R. Spears),4.570,3.810
1,6:23,3,7,DAL 7,0,7,Joe Flacco pass incomplete short middle intended for Mark Clayton (defended by Terence Newman),3.810,2.970
1,6:17,4,7,DAL 7,3,7,Matt Stover 26 yard field goal good,2.970,3.000
1,,,,BAL 30,3,7,"Matt Stover kicks off 65 yards, returned by Miles Austin for 16 yards (tackle by Tom Zbikowski)",0.000,0.340
1,6:10,1,10,DAL 21,3,7,Tashard Choice left tackle for 29 yards (tackle by Jim Leonhard),0.340,2.260
1,5:19,1,10,BAL 50,3,7,Tashard Choice up the middle for no gain (tackle by Bart Scott),2.260,1.710
1,4:39,2,10,BAL 50,3,7,Tony Romo pass incomplete short middle intended for Terrell Owens,1.710,1.030
1,4:33,3,10,BAL 50,3,7,Tony Romo sacked by Ray Lewis and Terrell Suggs for -5 yards,1.030,-0.390
1,4:13,4,15,DAL 45,3,7,"Sam Paulescu punts 34 yards, fair catch by Jim Leonhard",-0.390,-0.340
1,4:07,1,10,BAL 21,3,7,Le'Ron McClain right tackle for 1 yard (tackle by Keith Davis),0.340,-0.070
1,3:33,2,9,BAL 22,3,7,Joe Flacco pass complete short middle to Le'Ron McClain for 4 yards (tackle by Chris L. Canty),-0.070,-0.230
1,2:46,3,5,BAL 26,3,7,Joe Flacco pass incomplete short middle intended for Marcus Smith,-0.230,-1.630
1,2:41,4,5,BAL 26,3,7,"Sam Koch punts 60 yards, returned by Pacman Jones for 8 yards (tackle by Brendon Ayanbadejo)",-1.630,-0.410
1,2:27,1,10,DAL 22,3,7,Tony Romo pass complete short right to Marion Barber for 7 yards (tackle by Bart Scott),0.410,0.810
1,1:52,2,3,DAL 29,3,7,Marion Barber left end for 1 yard (tackle by Samari Rolle),0.810,0.230
1,1:03,3,2,DAL 30,3,7,Marion Barber up the middle for -1 yards (tackle by Jim Leonhard),0.230,-1.440
1,0:27,4,3,DAL 29,3,7,"Sam Paulescu punts 35 yards, returned by Jim Leonhard for 18 yards (tackle by Carlos Polk)",-1.440,-2.520
1,0:16,1,10,DAL 46,3,7,Le'Ron McClain right tackle for 1 yard (tackle by Tank Johnson and Stephen Bowen),2.520,2.110
Quarter,Time,Down,ToGo,Location,BAL,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,DAL 45,3,7,"Joe Flacco pass complete short right to Derrick Mason for 8 yards (tackle by Anthony Henry). Derrick Mason fumbles (forced by Anthony Henry), ball out of bounds at DAL-37",2.110,2.480
,,,,,,,"DAL challenged the pass completion ruling, and the play was upheld.",,
2,14:47,3,1,DAL 37,3,7,Le'Ron McClain left guard for 4 yards (tackle by DeMarcus Ware and Zach Thomas),2.480,3.380
2,14:10,1,10,DAL 33,3,7,Joe Flacco pass complete short left to Mark Clayton for no gain,3.380,2.840
2,13:26,2,10,DAL 33,3,7,Le'Ron McClain left tackle for no gain (tackle by Anthony Spencer),2.840,2.150
2,12:50,3,10,DAL 33,3,7,"Penalty on Greg Ellis: Defensive Offside, 5 yards (no play)",2.150,2.810
2,12:26,3,5,DAL 28,3,7,Joe Flacco pass complete deep middle to Todd Heap for 23 yards (tackle by Terence Newman),2.810,6.060
2,12:26,1,5,DAL 5,3,7,Le'Ron McClain left guard for no gain (tackle by Ken Hamlin),6.060,5.150
2,11:17,2,5,DAL 5,3,7,Joe Flacco pass incomplete short right intended for Lorenzo Neal,5.150,4.260
2,11:12,3,5,DAL 5,3,7,Joe Flacco sacked by Kevin Burnett for -6 yards,4.260,2.700
2,10:57,4,11,DAL 11,6,7,Matt Stover 29 yard field goal good,2.700,3.000
