Unnamed: 0,NWE,CIN
First Downs,26,17
Rush-Yds-TDs,41-236-3,17-71-1
Cmp-Att-Yd-TD-INT,15-26-188-2-1,20-35-245-0-0
Sacked-Yards,0-0,4-37
Net Pass Yards,188,208
Total Yards,424,279
Fumbles-Lost,0-0,2-2
Turnovers,1,2
Penalties-Yards,7-61,9-74
Third Down Conv.,6-13,2-11
Fourth Down Conv.,1-1,0-0
Time of Possession,33:56,26:04
