Quarter,Time,Down,ToGo,Location,BUF,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss and deferred, Bengals to receive the opening kickoff.",,
1,15:00,,,BUF 35,0,0,"Steven Hauschka kicks off 70 yards, returned by Alex Erickson for 25 yards (tackle by Joe Webb)",0.000,-0.280
1,14:55,1,10,CIN 20,0,0,Andy Dalton pass complete short left to A.J. Green for 15 yards,0.280,1.270
1,14:36,1,10,CIN 35,0,0,Andy Dalton pass complete short right to A.J. Green for 7 yards (tackle by TreDavious White),1.270,1.670
1,14:02,2,3,CIN 42,0,0,Jeremy Hill left tackle for 1 yard (tackle by Shareece Wright),1.670,1.090
1,13:24,3,2,CIN 43,0,0,Andy Dalton pass incomplete,1.090,-0.520
1,13:17,4,2,CIN 43,0,0,Kevin Huber punts 47 yards,-0.520,0.380
1,13:04,1,10,BUF 10,0,0,Tyrod Taylor pass incomplete short right intended for Charles Clay,-0.380,-0.780
1,13:00,2,10,BUF 10,0,0,LeSean McCoy left end for 5 yards (tackle by Kevin Minter),-0.780,-0.840
1,12:22,3,5,BUF 15,0,0,Tyrod Taylor sacked by Michael Johnson for -3 yards,-0.840,-2.490
1,11:51,4,8,BUF 12,0,0,"Colton Schmidt punts 51 yards, returned by Alex Erickson for -4 yards (tackle by Lorenzo Alexander). Penalty on Cody Core: Illegal Block Above the Waist, 10 yards",-2.490,-0.480
1,11:39,1,10,CIN 23,0,6,"Andy Dalton pass complete deep right to A.J. Green for 77 yards, touchdown",0.480,7.000
1,11:29,,,BUF 15,0,7,Randy Bullock kicks extra point good,0.000,0.000
1,11:29,,,CIN 35,0,7,"Randy Bullock kicks off 60 yards, returned by Brandon Tate for 17 yards (tackle by Cethan Carter)",0.000,-0.410
1,11:22,1,10,BUF 22,0,7,LeSean McCoy right guard for 4 yards (tackle by Kevin Minter),0.410,0.410
1,10:53,2,6,BUF 26,0,7,Tyrod Taylor pass complete short right to Charles Clay for 7 yards (tackle by Dre Kirkpatrick),0.410,1.140
1,10:20,1,10,BUF 33,0,7,Tyrod Taylor pass complete short middle to Brandon Tate for 13 yards (tackle by Darqueze Dennard),1.140,1.990
1,9:58,1,10,BUF 46,0,7,Tyrod Taylor pass incomplete,1.990,1.450
1,9:51,2,10,BUF 46,0,7,Tyrod Taylor pass complete short right to LeSean McCoy for 4 yards (tackle by William Jackson and Vontaze Burfict),1.450,1.290
1,9:13,3,6,,0,7,Tyrod Taylor sacked by Geno Atkins for -5 yards,1.290,-0.390
1,8:39,4,11,BUF 45,0,7,"Colton Schmidt punts 42 yards, muffed catch by Alex Erickson, recovered by Alex Erickson and returned for no gain",-0.390,0.280
1,8:31,1,10,CIN 14,0,7,Joe Mixon left guard for 12 yards (tackle by Leonard Johnson and Micah Hyde),-0.280,0.670
1,7:54,1,10,CIN 26,0,7,Joe Mixon left end for no gain (tackle by Lorenzo Alexander),0.670,0.130
1,7:13,2,10,CIN 26,0,7,Andy Dalton pass complete short right to Tyler Boyd for 5 yards (tackle by Leonard Johnson),0.130,0.100
1,6:40,3,5,CIN 31,0,7,Andy Dalton pass complete short middle to Brandon LaFell for 7 yards (tackle by Shareece Wright),0.100,1.470
1,6:04,1,10,CIN 38,0,7,Joe Mixon right tackle for 3 yards (tackle by Adolphus Washington),1.470,1.330
1,5:18,2,7,CIN 41,0,7,Andy Dalton pass complete short left to Tyler Boyd for 1 yard (tackle by Shareece Wright),1.330,0.760
1,4:36,3,6,CIN 42,0,7,Andy Dalton pass incomplete short left intended for A.J. Green (defended by Leonard Johnson),0.760,-0.590
1,4:31,4,6,CIN 42,0,7,"Kevin Huber punts 44 yards, returned by Brandon Tate for 1 yard (tackle by Clayton Fejedelem)",-0.590,0.220
1,4:20,1,10,BUF 15,0,7,LeSean McCoy left guard for 4 yards (tackle by Jordan Willis),-0.220,-0.110
1,3:43,2,6,BUF 19,0,7,LeSean McCoy right end for 4 yards (tackle by Vontaze Burfict),-0.110,-0.390
1,3:06,3,2,BUF 23,0,7,LeSean McCoy middle for 4 yards (tackle by Shawn Williams),-0.390,0.740
1,2:32,1,10,BUF 27,0,7,Tyrod Taylor pass complete deep right to Charles Clay for 24 yards (tackle by Shawn Williams),0.740,2.320
1,1:58,1,10,CIN 49,0,7,Tyrod Taylor pass complete short left to Nick O'Leary for 19 yards (tackle by Adam Jones and Nick Vigil),2.320,3.580
1,1:34,1,10,CIN 30,0,7,LeSean McCoy left guard for 11 yards (tackle by George Iloka),3.580,4.310
1,0:57,1,10,CIN 19,0,7,Mike Tolbert left guard for 6 yards (tackle by George Iloka),4.310,4.720
1,0:24,2,4,CIN 13,0,7,Tyrod Taylor pass incomplete short right intended for Logan Thomas,4.720,3.960
1,0:18,3,4,CIN 13,0,7,Tyrod Taylor pass incomplete short middle intended for Zay Jones (defended by Vontaze Burfict),3.960,2.640
1,0:15,4,4,CIN 13,3,7,Steven Hauschka 31 yard field goal good,2.640,3.000
1,0:10,,,BUF 35,3,7,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.610
1,0:10,1,10,CIN 25,3,7,Jeremy Hill right guard for 3 yards (tackle by Cedric Thornton),0.610,0.470
Quarter,Time,Down,ToGo,Location,BUF,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,CIN 28,3,7,Andy Dalton pass complete short right to Tyler Kroft for 3 yards (tackle by Micah Hyde),0.470,0.170
2,14:30,3,4,CIN 31,3,7,"Penalty on CIN: Illegal Substitution, 5 yards (no play)",0.170,-0.490
2,14:08,3,9,CIN 26,3,7,Andy Dalton pass complete short left to A.J. Green for 15 yards (tackle by Shareece Wright),-0.490,1.660
2,13:26,1,10,CIN 41,3,7,Alex Erickson left end for -6 yards (tackle by Jerry Hughes and Micah Hyde),1.660,0.310
2,12:39,2,16,CIN 35,3,7,Andy Dalton sacked by Marcell Dareus for -5 yards,0.310,-1.020
2,11:58,3,21,CIN 30,3,7,"Andy Dalton pass complete short left to Giovani Bernard for 18 yards (tackle by Micah Hyde and Shareece Wright). Penalty on Jerry Hughes: Roughing the Passer, 15 yards",-1.020,3.120
2,11:34,1,10,BUF 37,3,7,Andy Dalton pass complete short left to A.J. Green for 8 yards (tackle by Shareece Wright),3.120,0.000
2,11:10,,,,,,Timeout #1 by Cincinnati Bengals,0.000,-3.650
2,11:10,2,2,BUF 29,3,7,Joe Mixon left guard for 9 yards (tackle by Jordan Poyer),3.650,4.240
2,10:36,1,10,BUF 20,3,7,Joe Mixon right tackle for -1 yards (tackle by Lorenzo Alexander and Shaq Lawson),4.240,3.560
2,9:53,2,11,BUF 21,3,7,Andy Dalton pass complete short right to Tyler Kroft for 9 yards (tackle by Lorenzo Alexander),3.560,4.340
2,9:09,3,2,BUF 12,3,7,Andy Dalton pass incomplete short right intended for Tyler Kroft,4.340,2.760
2,9:05,4,2,BUF 12,3,10,Randy Bullock 30 yard field goal good,2.760,3.000
2,9:01,,,CIN 35,3,10,"Randy Bullock kicks off 65 yards, touchback",0.000,-0.610
2,9:01,1,10,BUF 25,3,10,Kaelin Clay left end for no gain (tackle by Jordan Willis),0.610,0.060
2,8:38,2,10,BUF 25,3,10,"LeSean McCoy right end for 3 yards (tackle by Carlos Dunlap). LeSean McCoy fumbles (forced by Carlos Dunlap), recovered by Jordan Mills at BUF-36",0.060,1.330
2,7:55,1,10,BUF 36,3,10,LeSean McCoy left tackle for 4 yards (tackle by Carlos Dunlap and Nick Vigil),1.330,1.330
2,7:19,2,6,BUF 40,3,10,Tyrod Taylor pass complete short left to Nick O'Leary for 7 yards (tackle by Vontaze Burfict),1.330,2.060
2,6:43,1,10,BUF 47,3,10,Mike Tolbert left tackle for 6 yards (tackle by Vontaze Burfict),2.060,2.330
2,6:08,2,4,CIN 47,3,10,Tyrod Taylor pass complete short right to Logan Thomas for 3 yards (tackle by Kevin Minter),2.330,2.020
2,5:31,3,1,CIN 44,3,10,LeSean McCoy right tackle for -2 yards (tackle by Geno Atkins),2.020,0.200
2,5:00,4,3,CIN 46,3,10,"Colton Schmidt punts 46 yards, touchback",0.200,-0.280
2,4:52,1,10,CIN 20,3,10,Andy Dalton pass incomplete deep left intended for A.J. Green is intercepted by Micah Hyde at CIN-36 and returned for 13 yards,0.280,-4.040
2,4:44,1,10,CIN 23,3,10,Tyrod Taylor pass incomplete,4.040,3.500
2,4:37,2,10,CIN 23,3,10,Tyrod Taylor pass complete short right to LeSean McCoy for 7 yards (tackle by Nick Vigil),3.500,3.850
2,4:01,3,3,CIN 16,3,10,Tyrod Taylor pass complete short right to LeSean McCoy for 4 yards (tackle by Clayton Fejedelem),3.850,4.780
2,3:24,1,10,CIN 12,3,10,Tyrod Taylor pass incomplete short right intended for Zay Jones,4.780,4.100
2,3:21,2,10,CIN 12,3,10,Tyrod Taylor pass incomplete short right intended for LeSean McCoy,4.100,3.120
2,3:15,3,10,CIN 12,9,10,"Tyrod Taylor pass complete short left to Brandon Tate for 12 yards, touchdown",3.120,7.000
2,3:10,,,CIN 15,10,10,Steven Hauschka kicks extra point good,0.000,0.000
2,3:10,,,BUF 35,10,10,"Steven Hauschka kicks off 60 yards, returned by Alex Erickson for 25 yards (tackle by Brandon Tate)",0.000,-0.940
2,3:04,1,10,CIN 30,10,10,Jeremy Hill right tackle for 8 yards (tackle by Kyle Williams and Preston Brown),0.940,1.470
2,2:31,2,2,CIN 38,10,10,Andy Dalton pass incomplete deep right intended for A.J. Green (defended by TreDavious White),1.470,0.760
2,2:26,3,2,CIN 38,10,10,Giovani Bernard right end for 1 yard (tackle by Shaq Lawson and Matt Milano),0.760,-0.780
2,2:00,4,1,CIN 39,10,10,"Kevin Huber punts 48 yards, out of bounds",-0.780,0.320
2,1:54,1,10,BUF 13,10,10,LeSean McCoy middle for 14 yards (tackle by Clayton Fejedelem and Nick Vigil),-0.320,0.740
2,1:30,1,10,BUF 27,10,10,Tyrod Taylor pass incomplete short right intended for Brandon Tate,0.740,0.200
2,1:25,2,10,BUF 27,10,10,Tyrod Taylor for 3 yards (tackle by Vontaze Burfict),0.200,-0.100
2,1:17,3,7,BUF 30,10,10,Tyrod Taylor pass complete short middle to Zay Jones for 9 yards (tackle by William Jackson),-0.100,1.530
2,0:53,1,10,BUF 39,10,10,Tyrod Taylor pass complete short middle to Mike Tolbert for 6 yards (tackle by Nick Vigil),1.530,0.000
2,0:48,,,,,,Timeout #1 by Buffalo Bills,0.000,-1.800
