Quarter,Time,Tm,Detail,BUF,CIN
1.0,11:29,Bengals,A.J. Green 77 yard pass from Andy Dalton (Randy Bullock kick),0,7
,0:10,Bills,Stephen Hauschka 31 yard field goal,3,7
2.0,9:01,Bengals,Randy Bullock 30 yard field goal,3,10
,3:10,Bills,Brandon Tate 12 yard pass from Tyrod Taylor (Stephen Hauschka kick),10,10
3.0,1:54,Bills,Stephen Hauschka 38 yard field goal,13,10
4.0,14:55,Bengals,Joe Mixon 5 yard rush (Randy Bullock kick),13,17
,8:59,Bills,Stephen Hauschka 28 yard field goal,16,17
,3:33,Bengals,Randy Bullock 29 yard field goal,16,20
