Unnamed: 0,LAR,SEA
First Downs,13,19
Rush-Yds-TDs,17-47-0,30-72-0
Cmp-Att-Yd-TD-INT,18-35-167-0-0,19-26-229-3-1
Sacked-Yards,4-31,2-2
Net Pass Yards,136,227
Total Yards,183,299
Fumbles-Lost,1-0,1-0
Turnovers,0,1
Penalties-Yards,8-76,13-86
Third Down Conv.,3-12,7-15
Fourth Down Conv.,0-4,1-1
Time of Possession,27:29,32:31
