Quarter,Time,Tm,Detail,SFO,CIN
1.0,8:44,Bengals,Mike Nugent 22 yard field goal,0,3
3.0,3:29,49ers,David Akers 23 yard field goal,3,3
4.0,9:04,Bengals,Mike Nugent 23 yard field goal,3,6
,3:59,49ers,Kendall Hunter 7 yard rush (David Akers kick),10,6
,2:16,49ers,David Akers 53 yard field goal,13,6
,0:02,Bengals,"Safety, Andy Lee ran out of back of end zone.",13,8
