Quarter,Time,Down,ToGo,Location,HOU,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Texans to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,HOU 25,0,0,Lamar Miller right end for 9 yards (tackle by Devin McCourty),0.610,1.280
1,14:29,2,1,HOU 34,0,0,Lamar Miller right guard for -2 yards (tackle by Alan Branch),1.280,0.300
1,13:49,3,3,HOU 32,0,0,Brock Osweiler pass complete short right to DeAndre Hopkins for 14 yards,0.300,1.990
1,13:36,1,10,HOU 46,0,0,Lamar Miller right guard for 2 yards (tackle by Malcom Brown and Jamie Collins),1.990,1.720
1,13:00,2,8,HOU 48,0,0,Brock Osweiler pass incomplete short left intended for Stephen Anderson,1.720,1.030
1,12:57,3,8,HOU 48,0,0,Brock Osweiler sacked by Jabaal Sheard for -11 yards,1.030,-0.910
1,12:25,4,19,HOU 37,0,0,"Shane Lechler punts 47 yards. Penalty on Charles James: Interference with Opportunity to, 15 yards",-0.910,-1.000
1,12:16,1,10,NWE 31,0,0,LeGarrette Blount left tackle for no gain (tackle by Kareem Jackson),1.000,0.460
1,11:45,2,10,NWE 31,0,0,Jacoby Brissett pass complete short right to Julian Edelman for 6 yards (tackle by John Simon),0.460,0.560
1,11:10,3,4,NWE 37,0,0,Jacoby Brissett pass incomplete deep left intended for Chris Hogan,0.560,-0.910
1,11:00,4,4,NWE 37,0,0,"Ryan Allen punts 52 yards, fair catch by Tyler Ervin",-0.910,0.370
1,10:56,1,10,HOU 11,0,0,Lamar Miller left guard for 3 yards (tackle by Shea McClellin and Vincent Valentine),-0.370,-0.530
1,10:19,2,7,HOU 14,0,0,Lamar Miller left tackle for 6 yards (tackle by Jonathan Freeny and Alan Branch),-0.530,-0.370
1,9:40,3,1,HOU 20,0,0,Lamar Miller right guard for 1 yard (tackle by Vincent Valentine and Alan Branch),-0.370,-0.370
1,8:56,3,1,HOU 20,0,0,Timeout #1 by Houston Texans,-0.370,0.340
1,8:56,1,10,HOU 21,0,0,Brock Osweiler pass complete deep right to Will Fuller for 18 yards (tackle by Logan Ryan),0.340,1.530
1,8:24,1,10,HOU 39,0,0,Lamar Miller left guard for 2 yards (tackle by Vincent Valentine and Chris Long),1.530,1.260
1,7:45,2,8,HOU 41,0,0,Brock Osweiler pass incomplete short right intended for Lamar Miller,1.260,0.560
1,7:41,3,8,HOU 41,0,0,Lamar Miller left tackle for 6 yards (tackle by Devin McCourty and Malcolm Butler),0.560,-0.260
1,7:07,4,2,HOU 47,0,0,"Shane Lechler punts 53 yards, touchback",-0.260,-0.280
1,6:59,1,10,NWE 20,0,0,Jacoby Brissett pass complete short left to Martellus Bennett for 5 yards (tackle by Benardrick McKinney),0.280,0.410
1,6:31,2,5,NWE 25,0,0,LeGarrette Blount middle for no gain (tackle by Benardrick McKinney),0.410,-0.300
1,5:52,3,5,NWE 25,0,0,"Jacoby Brissett pass incomplete deep left intended for Julian Edelman. Penalty on Johnathan Joseph: Defensive Pass Interference, 12 yards (no play)",-0.300,1.400
1,5:46,1,10,NWE 37,0,0,Jacoby Brissett right tackle for 13 yards (tackle by Andre Hal),1.400,2.260
1,5:04,1,10,,0,0,Jacoby Brissett pass complete short left to Martellus Bennett for 5 yards (tackle by Kareem Jackson and Quintin Demps),2.260,2.390
1,4:25,2,5,HOU 45,0,0,LeGarrette Blount middle for 3 yards (tackle by Benardrick McKinney and Whitney Mercilus),2.390,2.080
1,3:45,3,2,HOU 42,0,0,Jacoby Brissett pass complete short left to Malcolm Mitchell for 27 yards (tackle by Benardrick McKinney),2.080,4.580
1,3:11,1,10,HOU 15,0,0,LeGarrette Blount middle for 5 yards (tackle by Benardrick McKinney and Christian Covington),4.580,4.840
1,2:41,2,5,HOU 10,0,0,Julian Edelman left end for 4 yards (tackle by Johnathan Joseph),4.840,4.900
1,2:16,3,1,HOU 6,0,0,Jacoby Brissett pass incomplete short left intended for Rob Gronkowski,4.900,3.020
1,2:11,4,1,HOU 6,0,3,Stephen Gostkowski 24 yard field goal good,3.020,3.000
1,2:11,,,NWE 35,0,3,"Stephen Gostkowski kicks off 66 yards, returned by Charles James for 18 yards (tackle by Brandon Bolden). Charles James fumbles, recovered by Duron Harmon at HOU-22",0.000,4.110
,,,,,,,"NWE challenged the runner was down by contact ruling, and the original play was overturned.",,
1,2:01,1,10,HOU 22,0,3,"Penalty on Marcus Cannon: False Start, 5 yards (no play)",4.110,3.780
