Unnamed: 0,SFO,ARI
First Downs,12,12
Rush-Yds-TDs,21-90-1,23-55-0
Cmp-Att-Yd-TD-INT,18-37-175-0-0,20-29-284-3-2
Sacked-Yards,5-32,2-14
Net Pass Yards,143,270
Total Yards,233,325
Fumbles-Lost,0-0,2-1
Turnovers,0,3
Penalties-Yards,5-35,4-45
Third Down Conv.,3-17,3-14
Fourth Down Conv.,1-2,0-0
Time of Possession,30:56,29:04
