Unnamed: 0,NYJ,IND
First Downs,20,17
Rush-Yds-TDs,27-101-0,24-93-0
Cmp-Att-Yd-TD-INT,22-34-244-2-1,21-37-250-1-3
Sacked-Yards,1-1,0-0
Net Pass Yards,243,250
Total Yards,344,343
Fumbles-Lost,1-0,2-2
Turnovers,1,5
Penalties-Yards,8-90,11-84
Third Down Conv.,4-12,6-14
Fourth Down Conv.,0-0,0-0
Time of Possession,31:48,28:12
