Unnamed: 0,WAS,NOR
First Downs,24,27
Rush-Yds-TDs,33-156-1,23-160-1
Cmp-Att-Yd-TD-INT,22-32-322-3-0,29-41-385-2-1
Sacked-Yards,2-22,2-10
Net Pass Yards,300,375
Total Yards,456,535
Fumbles-Lost,1-0,0-0
Turnovers,0,1
Penalties-Yards,9-67,7-54
Third Down Conv.,4-12,4-12
Fourth Down Conv.,2-2,1-1
Time of Possession,32:11,30:24
