#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,13:51,NOR 47,6,2:11,27,Field Goal
2,1,5:30,WAS 25,7,3:19,75,Touchdown
3,1,0:35,WAS 25,9,4:51,75,Touchdown
4,2,6:53,WAS 8,10,5:14,54,Punt
5,3,15:00,WAS 25,4,2:09,7,Punt
6,3,7:21,WAS 6,12,5:44,94,Touchdown
7,4,13:32,WAS 15,3,2:11,9,Punt
8,4,9:19,WAS 25,6,3:21,75,Touchdown
9,4,2:53,WAS 25,3,1:00,8,Punt
10,4,1:05,WAS 25,5,1:05,19,End of Half
11,5,10:00,WAS 25,3,1:06,-10,Punt
