Quarter,Time,Tm,Detail,NWE,KAN
1.0,2:15,Chiefs,Jamaal Charles 2 yard rush (Cairo Santos kick),0,7
2.0,10:58,Chiefs,Jamaal Charles 5 yard pass from Alex Smith (Cairo Santos kick),0,14
,0:00,Chiefs,Cairo Santos 22 yard field goal,0,17
3.0,7:53,Chiefs,Jamaal Charles 8 yard pass from Alex Smith (Cairo Santos kick),0,24
,5:29,Chiefs,Cairo Santos 31 yard field goal,0,27
,3:26,Patriots,Brandon LaFell 44 yard pass from Tom Brady (Stephen Gostkowski kick),7,27
4.0,11:52,Chiefs,Travis Kelce 2 yard pass from Alex Smith (Cairo Santos kick),7,34
,10:34,Chiefs,Husain Abdullah 39 yard interception return (Cairo Santos kick),7,41
,7:25,Patriots,Rob Gronkowski 13 yard pass from Jimmy Garoppolo (Stephen Gostkowski kick),14,41
