Unnamed: 0,NWE,KAN
First Downs,13,26
Rush-Yds-TDs,16-75-0,38-207-1
Cmp-Att-Yd-TD-INT,20-30-229-2-2,20-26-248-3-0
Sacked-Yards,3-14,2-12
Net Pass Yards,215,236
Total Yards,290,443
Fumbles-Lost,2-1,0-0
Turnovers,3,0
Penalties-Yards,3-30,4-35
Third Down Conv.,2-9,7-12
Fourth Down Conv.,0-0,0-0
Time of Possession,23:33,36:27
