Unnamed: 0,NWE,NOR
First Downs,23,18
Rush-Yds-TDs,28-122-2,26-113-0
Cmp-Att-Yd-TD-INT,23-40-256-0-2,18-23-371-5-0
Sacked-Yards,2-12,1-4
Net Pass Yards,244,367
Total Yards,366,480
Fumbles-Lost,2-1,1-1
Turnovers,3,1
Penalties-Yards,0-0,4-36
Third Down Conv.,4-13,4-10
Fourth Down Conv.,2-3,1-1
Time of Possession,33:16,26:44
