Quarter,Time,Tm,Detail,NWE,NOR
1.0,11:14,Saints,John Carney 30 yard field goal,0,3
,3:34,Patriots,Laurence Maroney 4 yard rush (Stephen Gostkowski kick),7,3
2.0,12:55,Saints,Pierre Thomas 18 yard pass from Drew Brees (John Carney kick),7,10
,9:53,Saints,Devery Henderson 75 yard pass from Drew Brees (John Carney kick),7,17
,4:14,Patriots,Stephen Gostkowski 36 yard field goal,10,17
,1:50,Saints,Robert Meachem 38 yard pass from Drew Brees (John Carney kick),10,24
3.0,10:24,Patriots,Laurence Maroney 2 yard rush (Stephen Gostkowski kick),17,24
,9:02,Saints,Darnell Dinkins 2 yard pass from Drew Brees (John Carney kick),17,31
4.0,7:49,Saints,Marques Colston 20 yard pass from Drew Brees (John Carney kick),17,38
