Quarter,Time,Down,ToGo,Location,NWE,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Saints to receive the opening kickoff.",,
1,15:00,,,NWE 30,0,0,"Stephen Gostkowski kicks off 63 yards, returned by Courtney Roby for 28 yards (tackle by Brandon McGowan)",0.000,1.270
1,14:54,1,10,NOR 35,0,0,Drew Brees pass complete deep left to Devery Henderson for 33 yards (tackle by Leigh Bodden),1.270,3.450
1,14:25,1,10,NWE 32,0,0,Drew Brees pass complete short right to Marques Colston for 6 yards (tackle by Jonathan Wilhite),3.450,3.710
1,14:01,2,4,NWE 26,0,0,Drew Brees pass complete short right to Pierre Thomas for 2 yards (tackle by Gary Guyton),3.710,3.270
1,13:32,3,2,NWE 24,0,0,Pierre Thomas left guard for 3 yards (tackle by Vince Wilfork),3.270,4.170
1,12:48,1,10,NWE 21,0,0,Mike Bell left guard for 6 yards (tackle by Brandon Meriweather),4.170,4.550
1,12:08,2,4,NWE 15,0,0,Drew Brees pass incomplete short left intended for Devery Henderson (defended by Leigh Bodden),4.550,3.810
1,12:02,3,4,NWE 15,0,0,Pierre Thomas left end for 3 yards (tackle by Mike Wright and Patrick Chung),3.810,2.780
1,11:18,4,1,NWE 12,0,3,John Carney 30 yard field goal good,2.780,3.000
1,11:18,,,NOR 30,0,3,"Thomas Morstead kicks off 76 yards, touchback",0.000,0.280
1,11:14,1,10,NWE 20,0,3,Tom Brady pass incomplete deep left intended for Sam Aiken,0.280,-0.270
1,11:08,2,10,NWE 20,0,3,Laurence Maroney left guard for 22 yards (tackle by Darren Sharper),-0.270,1.730
1,10:24,1,10,NWE 42,0,3,Tom Brady pass complete short left to Laurence Maroney for 9 yards (tackle by Malcolm Jenkins),1.730,2.400
1,9:40,2,1,NOR 49,0,3,Laurence Maroney left guard for 4 yards (tackle by Scott Shanle and Charles Grant),2.400,2.590
1,8:58,1,10,NOR 45,0,3,Tom Brady pass complete short left to Wes Welker for 5 yards (tackle by Randall Gay),2.590,2.720
1,8:24,2,5,NOR 40,0,3,Laurence Maroney left guard for 4 yards (tackle by Randall Gay and Charles Grant),2.720,2.540
1,7:39,3,1,NOR 36,0,3,Tom Brady pass incomplete short left intended for Randy Moss,2.540,0.890
1,7:35,4,1,NOR 36,0,3,Sammy Morris left guard for 3 yards (tackle by Anthony Hargrove),0.890,3.380
1,6:51,1,10,NOR 33,0,3,Laurence Maroney left tackle for 1 yard (tackle by Jonathan Vilma),3.380,2.970
1,6:07,2,9,NOR 32,0,3,Tom Brady pass complete short left to Kevin Faulk for 19 yards (tackle by Darren Sharper),2.970,4.710
1,5:32,1,10,NOR 13,0,3,Sammy Morris right end for 5 yards (tackle by Roman Harper),4.710,4.960
1,4:50,2,5,NOR 8,0,3,Laurence Maroney right tackle for 4 yards (tackle by Sedrick Ellis and Roman Harper),4.960,5.010
1,4:07,3,1,NOR 4,0,3,Laurence Maroney left tackle for no gain (tackle by Will Smith and Roman Harper),5.010,3.040
1,3:39,4,1,NOR 4,6,3,"Laurence Maroney right guard for 4 yards, touchdown",3.040,7.000
1,3:39,,,NOR 2,7,3,Stephen Gostkowski kicks extra point good,0.000,0.000
1,3:39,,,NWE 30,7,3,"Stephen Gostkowski kicks off 60 yards, returned by Courtney Roby for 15 yards (tackle by Patrick Chung)",0.000,0.610
1,3:29,1,10,NOR 25,7,3,Drew Brees pass complete short right to Jeremy Shockey for 15 yards (tackle by Brandon Meriweather),0.610,1.600
1,2:50,1,10,NOR 40,7,3,Pierre Thomas left guard for 6 yards (tackle by Gary Guyton and Tully Banta-Cain),1.600,1.860
1,2:12,2,4,NOR 46,7,3,Devery Henderson left end for no gain (tackle by Tully Banta-Cain and Vince Wilfork),1.860,1.160
1,1:33,3,4,NOR 46,7,3,Drew Brees pass incomplete deep left intended for Robert Meachem,1.160,-0.320
1,1:28,4,4,NOR 46,7,3,"Thomas Morstead punts 41 yards, returned by Wes Welker for 41 yards (tackle by Courtney Roby)",-0.320,-2.520
1,1:14,1,10,NOR 46,7,3,Tom Brady pass incomplete short right intended for Randy Moss is intercepted by Mike McKenzie at NOR-33 and returned for 8 yards,2.520,-1.660
1,1:02,1,10,NOR 41,7,3,Mike Bell left guard for 4 yards (tackle by Jerod Mayo),1.660,1.660
1,0:28,2,6,NOR 45,7,3,Pierre Thomas left guard for 26 yards (tackle by Brandon Meriweather and Brandon McGowan),1.660,3.640
Quarter,Time,Down,ToGo,Location,NWE,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NWE 29,7,3,Mike Bell left tackle for 1 yard (tackle by Ty Warren),3.640,3.240
2,14:43,2,9,NWE 28,7,3,Drew Brees pass complete short right to Robert Meachem for 6 yards (tackle by Jonathan Wilhite and Derrick Burgess),3.240,3.340
2,14:18,3,3,NWE 22,7,3,Pierre Thomas left tackle for 1 yard (tackle by Vince Wilfork),3.340,2.180
2,13:38,4,2,NWE 21,7,3,Pierre Thomas right guard for 3 yards (tackle by Jerod Mayo),2.180,4.370
2,13:04,1,10,NWE 18,7,9,"Drew Brees pass complete short right to Pierre Thomas for 18 yards, touchdown",4.370,7.000
2,13:04,,,NWE 2,7,10,John Carney kicks extra point good,0.000,0.000
2,13:04,,,NOR 30,7,10,"Thomas Morstead kicks off 74 yards, returned by Matt Slater for 30 yards (tackle by Roman Harper)",0.000,0.670
2,12:49,1,10,NWE 26,7,10,Wes Welker right end for 3 yards (tackle by Scott Shanle and Jonathan Vilma),0.670,0.540
2,12:16,2,7,NWE 29,7,10,Tom Brady pass complete short middle to Wes Welker for 10 yards (tackle by Jonathan Vilma),0.540,1.530
2,11:43,1,10,NWE 39,7,10,Laurence Maroney right tackle for 5 yards (tackle by Sedrick Ellis and Roman Harper),1.530,1.530
2,11:43,1,10,NWE 39,7,10,--,1.530,1.660
2,11:00,2,5,NWE 44,7,10,Tom Brady pass incomplete short right intended for Sammy Morris,1.660,0.960
2,10:55,3,5,NWE 44,7,10,Tom Brady pass complete short right to Sam Aiken for 3 yards (tackle by Mike McKenzie),0.960,-0.260
2,10:13,4,2,NWE 47,7,10,"Chris Hanson punts 39 yards, returned by Devery Henderson for 11 yards (tackle by Eric Alexander)",-0.260,-0.610
2,10:02,1,10,NOR 25,7,16,"Drew Brees pass complete deep right to Devery Henderson for 75 yards, touchdown",0.610,7.000
2,10:02,,,NWE 2,7,17,John Carney kicks extra point good,0.000,0.000
2,10:02,,,NOR 30,7,17,"Thomas Morstead kicks off 75 yards, returned by Matt Slater for 29 yards (tackle by Troy Evans)",0.000,0.540
2,9:48,1,10,NWE 24,7,17,Laurence Maroney right guard for 10 yards (tackle by Roman Harper),0.540,1.200
2,9:13,1,10,NWE 34,7,17,Laurence Maroney left tackle for 2 yards (tackle by Scott Shanle),1.200,0.930
2,8:32,2,8,NWE 36,7,17,Tom Brady sacked by Will Smith and Bobby McCray for -4 yards,0.930,-0.300
2,7:55,3,12,NWE 32,7,17,Tom Brady pass complete deep middle to Sam Aiken for 33 yards (tackle by Malcolm Jenkins),-0.300,3.250
2,7:12,1,10,NOR 35,7,17,Laurence Maroney left end for 3 yards (tackle by Jeff Charleston),3.250,3.110
2,6:27,2,7,NOR 32,7,17,Tom Brady pass incomplete deep right intended for Wes Welker (defended by Malcolm Jenkins),3.110,2.410
2,6:22,3,7,NOR 32,7,17,"Tom Brady middle for 2 yards (tackle by Scott Fujita). Penalty on Roman Harper: Illegal Contact, 5 yards",2.410,3.910
2,5:58,1,10,NOR 25,7,17,Laurence Maroney right end for 4 yards (tackle by Roman Harper),3.910,3.900
2,5:36,2,6,NOR 21,7,17,Laurence Maroney right guard for 1 yard (tackle by Will Smith and Anthony Hargrove),3.900,3.340
2,4:58,3,5,NOR 20,7,17,Tom Brady pass complete short left to Wes Welker for 2 yards (tackle by Malcolm Jenkins and Roman Harper),3.340,2.350
2,4:17,4,3,NOR 18,10,17,Stephen Gostkowski 36 yard field goal good,2.350,3.000
2,4:17,,,NWE 30,10,17,"Stephen Gostkowski kicks off 72 yards, returned by Courtney Roby for 26 yards (tackle by Rob Ninkovich)",0.000,0.540
2,4:07,1,10,NOR 24,10,17,Drew Brees pass complete short right to Pierre Thomas for 3 yards (tackle by Brandon McGowan and Jerod Mayo),0.540,0.400
2,3:22,2,7,NOR 27,10,17,Drew Brees pass complete short left to Devery Henderson for 8 yards (tackle by Tully Banta-Cain),0.400,1.270
2,2:43,1,10,NOR 35,10,17,Pierre Thomas right guard for 2 yards (tackle by Jerod Mayo),1.270,0.990
2,2:06,2,8,NOR 37,10,17,Drew Brees pass complete short middle to David Thomas for 25 yards (tackle by Brandon Meriweather and Brandon McGowan),0.990,3.050
2,1:57,1,10,NWE 38,10,23,"Drew Brees pass complete deep middle to Robert Meachem for 38 yards, touchdown",3.050,7.000
2,1:57,,,NWE 2,10,24,John Carney kicks extra point good,0.000,0.000
2,1:57,,,NOR 30,10,24,"Thomas Morstead kicks off 74 yards, touchback",0.000,0.280
2,1:50,1,10,NWE 20,10,24,Tom Brady pass complete short left to Laurence Maroney for 8 yards (tackle by Jonathan Vilma),0.280,0.810
2,1:41,2,2,NWE 28,10,24,Tom Brady pass incomplete short middle intended for Wes Welker (defended by Anthony Hargrove),0.810,0.100
2,1:36,3,2,NWE 28,10,24,Tom Brady pass complete short left to Sam Aiken for 7 yards (tackle by Mike McKenzie),0.100,1.270
2,1:08,1,10,NWE 35,10,24,"Tom Brady pass incomplete deep middle intended for Wes Welker. Penalty on Malcolm Jenkins: Defensive Holding, 5 yards (no play)",1.270,1.600
2,1:02,1,10,NWE 40,10,24,Tom Brady pass complete short right to Wes Welker for 8 yards (tackle by Malcolm Jenkins),1.600,2.130
2,0:55,2,2,NWE 48,10,24,Tom Brady pass complete short right to Randy Moss for 9 yards (tackle by Chris McAlister),2.130,2.720
2,0:46,2,2,NWE 48,10,24,Timeout #2 by New England Patriots,2.130,2.720
2,0:46,1,10,NOR 43,10,24,Tom Brady pass complete short right to Kevin Faulk for 11 yards (tackle by Roman Harper),2.720,3.450
2,0:35,1,10,NOR 43,10,24,Timeout #3 by New England Patriots,2.720,3.450
2,0:35,1,10,NOR 32,10,24,Tom Brady pass incomplete deep middle intended for Ben Watson (defended by Pierson Prioleau),3.450,2.900
2,0:30,2,10,NOR 32,10,24,Tom Brady pass incomplete deep right intended for Isaiah Stanback,2.900,2.210
2,0:23,3,10,NOR 32,10,24,Tom Brady pass incomplete deep middle intended for Ben Watson,2.210,1.240
2,0:18,4,10,NOR 32,10,24,Stephen Gostkowski 50 yard field goal no good,1.240,-1.660
2,0:13,1,10,NOR 41,10,24,Drew Brees kneels for -1 yards,1.660,0.990
Quarter,Time,Down,ToGo,Location,NWE,NOR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NOR 30,10,24,"Thomas Morstead kicks off 78 yards, touchback",0.000,0.280
3,15:00,1,10,NWE 20,10,24,"Tom Brady pass complete short right to Laurence Maroney for 6 yards (tackle by Scott Fujita). Laurence Maroney fumbles (forced by Scott Fujita), recovered by Sedrick Ellis at NWE-26 and returned for 7 yards (tackle by Laurence Maroney). Sedrick Ellis fumbles (forced by Laurence Maroney), recovered by Wes Welker at NWE-19 and returned for 7 yards",0.280,0.150
,,,,,,,"NOR challenged the fumble ruling, and the play was upheld.",,
3,14:40,1,10,NWE 19,10,24,Tom Brady pass complete short left to Ben Watson for 11 yards (tackle by Malcolm Jenkins),0.150,0.940
3,13:57,1,10,NWE 30,10,24,"Tom Brady pass incomplete short left intended for Kevin Faulk. Penalty on Tom Brady: Intentional Grounding (Offsetting), Penalty on Malcolm Jenkins: Defensive Holding (Offsetting) (no play)",0.940,0.940
3,13:51,1,10,NWE 30,10,24,"Tom Brady pass complete short left to Randy Moss for 11 yards. Randy Moss fumbles, recovered by Randy Moss at NWE-40",0.940,1.660
3,13:14,1,10,NWE 41,10,24,Sammy Morris right guard for 1 yard (tackle by Scott Fujita),1.660,1.260
3,12:30,2,9,NWE 42,10,24,Tom Brady pass incomplete short left intended for Wes Welker. Penalty on Nick Kaczur: Illegal Formation (Declined),1.260,0.560
3,12:25,3,9,NWE 42,10,24,Tom Brady pass complete short left to Sam Aiken for 11 yards (tackle by Mike McKenzie),0.560,2.460
3,11:59,1,10,NOR 47,10,24,Laurence Maroney right end for -2 yards (tackle by Jonathan Vilma),2.460,1.640
3,11:14,2,12,NOR 49,10,24,Tom Brady pass complete deep right to Randy Moss for 47 yards (tackle by Malcolm Jenkins and Darren Sharper),1.640,6.740
3,10:28,1,2,NOR 2,16,24,"Laurence Maroney left tackle for 2 yards, touchdown",6.740,7.000
3,10:28,,,NOR 2,17,24,Stephen Gostkowski kicks extra point good,0.000,0.000
