Quarter,Time,Tm,Detail,CLE,SEA
1.0,11:41,Seahawks,Itula Mili 2 yard pass from Matt Hasselbeck (Josh Brown kick),0,7
2.0,9:05,Seahawks,Josh Brown 36 yard field goal,0,10
,4:41,Seahawks,Darrell Jackson 3 yard pass from Matt Hasselbeck (Josh Brown kick),0,17
3.0,8:49,Seahawks,Darrell Jackson 26 yard pass from Matt Hasselbeck (Josh Brown kick),0,24
,2:36,Seahawks,Josh Brown 41 yard field goal,0,27
4.0,7:15,Seahawks,Shaun Alexander 3 yard rush (Josh Brown kick),0,34
,3:23,Browns,Andre King 28 yard blocked punt return (Phil Dawson kick),7,34
