Unnamed: 0,CLE,SEA
First Downs,11,26
Rush-Yds-TDs,16-47-0,36-157-1
Cmp-Att-Yd-TD-INT,23-34-191-0-1,26-36-328-3-1
Sacked-Yards,4-24,3-22
Net Pass Yards,167,306
Total Yards,214,463
Fumbles-Lost,2-2,1-0
Turnovers,3,1
Penalties-Yards,4-35,5-45
Third Down Conv.,2-10,11-17
Fourth Down Conv.,0-1,0-0
Time of Possession,21:21,38:39
