Quarter,Time,Down,ToGo,Location,CLE,SEA,Detail,EPB,EPA
2,9:13,3,4,CLE 17,0,7,Matt Hasselbeck pass incomplete intended for Shaun Alexander,3.660,2.390
2,9:08,4,4,CLE 17,0,10,Josh Brown 36 yard field goal good,2.390,3.000
2,9:08,,,SEA 30,0,10,"Josh Brown kicks off 66 yards, returned by Lee Suggs for 18 yards (tackle by Isaiah Kacyvenski)",0.000,0.410
2,8:59,1,10,CLE 22,0,10,Kelly Holcomb pass complete to Quincy Morgan for 4 yards (tackle by Anthony Simmons),0.410,0.410
2,8:28,2,6,CLE 26,0,10,James Jackson for 3 yards (tackle by Rashad Moore and Lamar King),0.410,0.100
2,7:45,3,3,CLE 29,0,10,Kelly Holcomb pass incomplete intended for Quincy Morgan,0.100,-1.440
2,7:38,4,3,CLE 29,0,10,Chris Gardocki punts 36 yards,-1.440,-1.270
2,7:27,1,10,SEA 35,0,10,Shaun Alexander for 4 yards (tackle by Orpheus Roye and Robert Griffith),1.270,1.260
2,6:46,2,6,SEA 39,0,10,Matt Hasselbeck pass complete to Koren Robinson for 23 yards (tackle by Chris Crocker),1.260,3.050
2,6:24,1,10,CLE 38,0,10,Shaun Alexander left end for 21 yards (tackle by Earl Little),3.050,4.440
2,5:58,1,10,CLE 17,0,10,Mack Strong right end for 7 yards (tackle by Earl Little and Andra Davis),4.440,5.100
2,5:24,2,3,CLE 10,0,10,Mack Strong left tackle for 7 yards (tackle by Barry Gardner),5.100,6.510
2,4:46,1,3,CLE 3,0,16,"Matt Hasselbeck pass complete to Darrell Jackson for 3 yards, touchdown",6.510,7.000
2,4:46,,,CLE 2,0,17,Josh Brown kicks extra point good,0.000,0.000
2,4:46,,,SEA 30,0,17,"Josh Brown kicks off 65 yards, returned by Andre' Davis for 20 yards (tackle by Reggie Tongue)",0.000,0.610
2,4:37,1,10,CLE 25,0,17,Kelly Holcomb pass complete to James Jackson for 6 yards (tackle by Chad Brown),0.610,0.870
2,4:07,2,4,CLE 31,0,17,"Kelly Holcomb pass complete to Darnell Sanders for 12 yards (tackle by Reggie Tongue). Darnell Sanders fumbles (forced by Reggie Tongue), recovered by Rashad Moore at CLE-43 (tackle by Shaun O'Hara)",0.870,-2.720
2,3:56,1,10,CLE 43,0,17,Shaun Alexander for 3 yards (tackle by Kenard Lang),2.720,2.580
2,3:18,2,7,CLE 40,0,17,Shaun Alexander right end for 2 yards (tackle by Kenard Lang and Kevin Bentley),2.580,2.150
2,2:37,3,5,CLE 38,0,17,Matt Hasselbeck pass complete to Alex Bannister for 8 yards (tackle by Leigh Bodden),2.150,3.580
2,2:09,1,10,CLE 30,0,17,"Shaun Alexander left tackle for 7 yards (tackle by Robert Griffith). Penalty on CLE: Defensive 12 On-field, 5 yards (no play)",3.580,4.310
2,2:00,1,5,CLE 25,0,17,"Shaun Alexander left end for 1 yard (tackle by Andra Davis). Penalty on Steve Hutchinson: Offensive Holding, 10 yards (no play)",4.310,3.250
2,1:54,1,15,CLE 35,0,17,Matt Hasselbeck pass complete to Bobby Engram for 6 yards (tackle by Chris Crocker),3.250,3.170
2,1:50,2,9,CLE 29,0,17,Matt Hasselbeck pass incomplete intended for Mack Strong is intercepted by Kenard Lang at CLE-31,3.170,-1.000
2,1:45,1,10,CLE 31,0,17,Kelly Holcomb pass complete to Andre King for 6 yards (tackle by Shawn Springs),1.000,1.270
2,1:28,2,4,CLE 37,0,17,Kelly Holcomb pass complete to Jamel White for 5 yards (tackle by Shawn Springs),1.270,1.730
2,1:22,1,10,CLE 42,0,17,Kelly Holcomb pass complete to Dennis Northcutt for 11 yards (tackle by Shawn Springs),1.730,2.460
2,1:04,1,10,SEA 47,0,17,Kelly Holcomb pass complete to Andre King for 6 yards (tackle by Ken Lucas),2.460,2.720
2,0:45,2,4,SEA 41,0,17,Kelly Holcomb pass complete to Jamel White for 8 yards (tackle by Ken Lucas),2.720,3.380
2,0:25,1,10,SEA 33,0,17,Kelly Holcomb sacked by Shawn Springs for -5 yards,3.380,2.160
2,0:16,1,10,SEA 33,0,17,Timeout #3 by Cleveland Browns,3.380,2.160
2,0:16,2,15,SEA 38,0,17,Kelly Holcomb pass incomplete intended for Jamel White (defended by Ken Lucas),2.160,1.490
2,0:10,3,15,SEA 38,0,17,Kelly Holcomb sacked by Chike Okeafor for -4 yards,1.490,0.460
Quarter,Time,Down,ToGo,Location,CLE,SEA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SEA 30,0,17,"Josh Brown kicks off 60 yards, returned by Lee Suggs for 42 yards (tackle by Reggie Tongue)",0.000,2.390
3,14:51,1,10,SEA 48,0,17,James Jackson right end for 4 yards (tackle by Anthony Simmons and Ken Lucas),2.390,2.390
3,14:07,2,6,SEA 44,0,17,Tim Couch pass incomplete intended for Darnell Sanders,2.390,1.690
3,14:02,3,6,SEA 44,0,17,Tim Couch pass incomplete intended for Andre King,1.690,0.330
3,13:57,4,6,SEA 44,0,17,"Chris Gardocki punts 34 yards, fair catch by Bobby Engram",0.330,0.380
3,13:50,1,10,SEA 10,0,17,"Matt Hasselbeck pass incomplete intended for Koren Robinson (defended by Leigh Bodden). Penalty on Gerard Warren: Defensive Offside, 5 yards (no play)",-0.380,0.080
3,13:44,1,5,SEA 15,0,17,Matt Hasselbeck pass complete to Darrell Jackson for 8 yards (tackle by Chaun Thompson),0.080,0.480
3,13:17,1,10,SEA 23,0,17,Shaun Alexander left tackle for -1 yards (tackle by Robert Griffith),0.480,-0.200
3,12:43,2,11,SEA 22,0,17,Shaun Alexander left end for no gain (tackle by Kevin Bentley),-0.200,-0.890
3,11:58,3,11,SEA 22,0,17,Matt Hasselbeck pass complete to Mack Strong for 11 yards (tackle by Leigh Bodden),-0.890,1.140
3,11:31,1,10,SEA 33,0,17,Shaun Alexander left tackle for 3 yards (tackle by Courtney Brown and Orpheus Roye),1.140,1.000
3,10:51,2,7,SEA 36,0,17,Matt Hasselbeck pass complete to Koren Robinson for 16 yards (tackle by Leigh Bodden),1.000,2.390
3,10:05,1,10,CLE 48,0,17,"Penalty on Darrell Jackson: False Start, 5 yards (no play)",2.390,2.060
3,9:48,1,15,SEA 47,0,17,Matt Hasselbeck pass complete to Darrell Jackson for 24 yards (tackle by Robert Griffith),2.060,3.640
3,9:32,1,10,CLE 29,0,17,Shaun Alexander right guard for 3 yards (tackle by Kenard Lang and Kevin Bentley),3.640,3.510
3,8:58,2,7,CLE 26,0,17,Matt Hasselbeck pass incomplete intended for Darrell Jackson (defended by Andra Davis),3.510,2.810
3,8:53,3,7,CLE 26,0,23,"Matt Hasselbeck pass complete to Darrell Jackson for 26 yards, touchdown. Penalty on Gerard Warren: Unnecessary Roughness, 15 yards",2.810,7.000
3,8:53,,,CLE 2,0,24,Josh Brown kicks extra point good,0.000,0.000
3,8:53,,,SEA 45,0,24,"Josh Brown kicks off 55 yards, touchback",0.000,0.280
3,8:49,1,10,CLE 20,0,24,James Jackson for 3 yards (tackle by Chad Brown and Orlando Huff),0.280,0.140
3,8:16,2,7,CLE 23,0,24,Tim Couch pass complete to Darnell Sanders for 5 yards (tackle by Shawn Springs),0.140,0.100
3,8:01,3,2,CLE 28,0,24,Kelly Holcomb pass incomplete intended for Darnell Sanders (defended by Reggie Tongue),0.100,-1.500
3,7:57,4,2,CLE 28,0,24,"Chris Gardocki punts 41 yards, returned by Bobby Engram for 9 yards (tackle by Sherrod Coates)",-1.500,-1.600
3,7:46,1,10,SEA 40,0,24,Shaun Alexander right tackle for 2 yards (tackle by Andra Davis),1.600,1.320
3,7:05,2,8,SEA 42,0,24,Matt Hasselbeck pass complete to Darrell Jackson for 15 yards (tackle by Earl Little),1.320,2.720
3,6:26,1,10,CLE 43,0,24,Matt Hasselbeck pass complete to Shaun Alexander for 4 yards (tackle by Courtney Brown),2.720,2.720
3,5:48,2,6,CLE 39,0,24,Shaun Alexander left tackle for 2 yards (tackle by Orpheus Roye),2.720,2.280
3,5:04,3,4,CLE 37,0,24,Matt Hasselbeck pass complete to Darrell Jackson for 6 yards,2.280,3.510
3,4:34,1,10,CLE 31,0,24,Mack Strong left guard for 2 yards (tackle by Kevin Bentley),3.510,3.240
3,3:54,2,8,CLE 29,0,24,Shaun Alexander left tackle for 7 yards (tackle by Robert Griffith),3.240,3.470
3,3:18,3,1,CLE 22,0,24,Shaun Alexander left tackle for -1 yards (tackle by Barry Gardner),3.470,2.050
3,2:40,4,2,CLE 23,0,27,Josh Brown 41 yard field goal good,2.050,3.000
3,2:40,,,SEA 30,0,27,"Josh Brown kicks off 69 yards, returned by Lee Suggs for 25 yards (tackle by Tracy White)",0.000,0.670
3,2:30,1,10,CLE 26,0,27,Kelly Holcomb pass complete to Darnell Sanders for 1 yard (tackle by Ken Lucas),0.670,0.270
3,1:53,2,9,CLE 27,0,27,Kelly Holcomb pass complete to Dennis Northcutt for 16 yards (tackle by Reggie Tongue and Anthony Simmons),0.270,1.800
3,1:25,1,10,CLE 43,0,27,James Jackson right tackle for 6 yards (tackle by Rocky Bernard),1.800,2.060
3,0:53,2,4,CLE 49,0,27,James Jackson left tackle for -3 yards (tackle by Shawn Springs),2.060,0.960
3,0:10,3,7,CLE 46,0,27,Kelly Holcomb pass complete to Andre King for 16 yards (tackle by Shawn Springs),0.960,3.050
Quarter,Time,Down,ToGo,Location,CLE,SEA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,SEA 38,0,27,Kelly Holcomb pass incomplete intended for Quincy Morgan,3.050,2.510
4,14:54,2,10,SEA 38,0,27,Kelly Holcomb pass incomplete intended for Frisman Jackson,2.510,1.820
4,14:50,3,10,SEA 38,0,27,Kelly Holcomb pass complete to Dennis Northcutt for 17 yards (tackle by Reggie Tongue),1.820,4.170
4,14:16,1,10,SEA 21,0,27,James Jackson right tackle for 4 yards (tackle by Chike Okeafor and Kris Richard),4.170,4.200
4,13:38,2,6,SEA 17,0,27,Kelly Holcomb pass incomplete intended for Andre' Davis is intercepted by Ken Lucas at SEA-2 and returned for 27 yards (tackle by Shaun O'Hara),4.200,-0.870
4,13:27,1,10,SEA 29,0,27,Mack Strong left tackle for 6 yards (tackle by Andra Davis),0.870,1.140
4,12:44,2,4,SEA 35,0,27,Shaun Alexander right end for -2 yards (tackle by Kevin Bentley),1.140,0.170
4,12:07,3,6,SEA 33,0,27,Matt Hasselbeck pass complete to Shaun Alexander for 6 yards (tackle by Leigh Bodden),0.170,1.530
4,11:51,1,10,SEA 39,0,27,Matt Hasselbeck pass incomplete intended for Koren Robinson (defended by Earl Little),1.530,0.990
4,11:43,2,10,SEA 39,0,27,Shaun Alexander left guard for 2 yards (tackle by Kevin Bentley),0.990,0.560
4,11:04,3,8,SEA 41,0,27,Matt Hasselbeck pass complete to Darrell Jackson for 17 yards (tackle by Kevin Bentley and Robert Griffith). Penalty on Mark Word: Defensive Offside (Declined),0.560,2.790
4,10:35,1,10,CLE 42,0,27,"Matt Hasselbeck pass complete to Alex Bannister for 12 yards (tackle by Kevin Bentley). Penalty on Alex Bannister: Offensive Pass Interference, 10 yards (no play)",2.790,2.130
4,10:07,1,20,SEA 48,0,27,Shaun Alexander left end for 5 yards (tackle by Andra Davis),2.130,1.570
4,9:30,2,15,CLE 47,0,27,Matt Hasselbeck pass complete to Koren Robinson for 10 yards (tackle by Leigh Bodden),1.570,2.210
4,9:00,3,5,CLE 37,0,27,Shaun Alexander right guard for 16 yards (tackle by Robert Griffith),2.210,4.170
4,8:16,1,10,CLE 21,0,27,Shaun Alexander for 3 yards (tackle by Kenard Lang),4.170,4.040
4,7:41,2,7,CLE 18,0,27,Matt Hasselbeck pass complete to Jerramy Stevens for 15 yards (tackle by Earl Little and Anthony Henry),4.040,6.510
4,7:18,1,3,CLE 3,0,33,"Shaun Alexander for 3 yards, touchdown",6.510,7.000
4,7:18,,,CLE 2,0,34,Josh Brown kicks extra point good,0.000,0.000
4,7:18,,,SEA 30,0,34,"Josh Brown kicks off 60 yards, returned by Lee Suggs for 25 yards (tackle by Reggie Tongue)",0.000,1.270
4,7:10,1,10,CLE 35,0,34,"Kelly Holcomb pass complete to Jamel White for 1 yard (tackle by Anthony Simmons). Penalty on John Randle: Roughing the Passer, 15 yards",1.270,2.320
4,6:53,1,10,SEA 49,0,34,Jamel White right guard for 6 yards (tackle by Rashad Moore),2.320,2.590
4,6:21,2,4,SEA 43,0,34,Jamel White right guard for 2 yards (tackle by Antonio Cochran),2.590,2.150
4,5:46,3,2,SEA 41,0,34,Jamel White for no gain (tackle by Antonio Cochran),2.150,0.530
4,5:10,3,2,SEA 41,0,34,Timeout #1 by Seattle Seahawks,2.150,0.530
4,5:10,4,2,SEA 41,0,34,Kelly Holcomb pass incomplete intended for Dennis Northcutt,0.530,-1.730
4,5:04,1,10,SEA 42,0,34,Maurice Morris left tackle for 4 yards (tackle by Robert Griffith),1.730,1.730
4,4:22,2,6,SEA 46,0,34,Maurice Morris left tackle for -6 yards (tackle by Orpheus Roye),1.730,0.230
4,3:37,3,12,SEA 40,0,34,Trent Dilfer pass incomplete intended for Bobby Engram,0.230,-0.720
4,3:33,4,12,SEA 40,6,34,", returned by Andre King for 28 yards, touchdown",-0.720,-7.000
4,3:23,,,SEA 2,7,34,Phil Dawson kicks extra point good,0.000,0.000
4,3:23,,,CLE 30,7,34,Phil Dawson kicks onside 14 yards,0.000,-2.650
4,3:23,1,10,CLE 44,7,34,Heath Evans for 8 yards (tackle by Andra Davis),2.650,3.190
4,2:42,2,2,CLE 36,7,34,Maurice Morris left end for no gain (tackle by Kenard Lang),3.190,2.480
4,2:00,3,2,CLE 36,7,34,"Trent Dilfer sacked by Andra Davis for -7 yards. Trent Dilfer fumbles (forced by Andra Davis), recovered by Maurice Morris at CLE-44",2.480,0.330
4,1:14,3,2,CLE 36,7,34,Timeout #2 by Seattle Seahawks,2.480,0.330
4,1:14,4,10,CLE 44,7,34,"Penalty on Alex Bannister: False Start, 5 yards (no play)",0.330,0.000
4,1:14,4,15,CLE 49,7,34,"Tom Rouen punts 38 yards, fair catch by Dennis Northcutt",0.000,0.370
4,1:07,1,10,CLE 11,7,34,Kelly Holcomb pass complete to Jamel White for 8 yards (tackle by Chad Brown),-0.370,0.170
4,0:47,2,2,CLE 19,7,34,Kelly Holcomb pass complete to Jamel White for 16 yards (tackle by Shawn Springs and Ken Hamlin),0.170,1.270
4,0:34,2,2,CLE 19,7,34,Timeout #1 by Cleveland Browns,0.170,1.270
4,0:34,1,10,CLE 35,7,34,Kelly Holcomb pass complete to Jamel White for -1 yards (tackle by Shawn Springs),1.270,0.590
4,0:12,2,11,CLE 34,7,34,Kelly Holcomb pass complete to Dennis Northcutt for 10 yards (tackle by Anthony Simmons and Shawn Springs),0.590,1.220
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
