Quarter,Time,Down,ToGo,Location,NWE,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Vikings to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,MIN 20,0,0,Matt Asiata up the middle for 5 yards (tackle by Chandler Jones),0.280,0.410
1,14:24,2,5,MIN 25,0,0,Jarius Wright left end for -5 yards (tackle by Chandler Jones),0.410,-0.960
1,13:42,3,10,MIN 20,0,0,Matt Cassel pass complete short middle to Kyle Rudolph for 17 yards (tackle by Duron Harmon and Deontae Skinner),-0.960,1.400
1,13:11,1,10,MIN 37,0,0,Matt Cassel pass complete short middle to Kyle Rudolph for 9 yards (tackle by Patrick Chung),1.400,2.070
1,12:38,2,1,MIN 46,0,0,Matt Asiata right tackle for no gain (tackle by Dont'a Hightower),2.070,1.360
1,12:10,3,1,MIN 46,0,0,"Matt Cassel up the middle for 3 yards (tackle by Logan Ryan). Penalty on Dont'a Hightower: Defensive Offside, 5 yards (no play)",1.360,2.320
1,11:49,1,10,NWE 49,0,0,Matt Cassel pass complete short left to Rhett Ellison for 24 yards (tackle by Jerod Mayo),2.320,3.910
1,11:02,1,10,NWE 25,0,6,"Matt Cassel pass complete short right to Matt Asiata for 25 yards, touchdown",3.910,7.000
1,11:02,,,NWE 2,0,7,Blair Walsh kicks extra point good,0.000,0.000
1,11:02,,,MIN 35,0,7,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.280
1,10:54,1,10,NWE 20,0,7,Stevan Ridley left guard for no gain (tackle by Sharrif Floyd),0.280,-0.270
1,10:20,2,10,NWE 20,0,7,Stevan Ridley up the middle for 2 yards (tackle by Jasper Brinkley),-0.270,-0.690
1,9:38,3,8,NWE 22,0,7,Shane Vereen left end for 7 yards (tackle by Captain Munnerlyn),-0.690,-0.690
1,9:32,3,8,NWE 22,0,7,Timeout #1 by Minnesota Vikings,-0.690,-1.440
1,9:32,4,1,NWE 29,0,7,"Ryan Allen punts 59 yards, out of bounds",-1.440,0.350
1,9:25,1,10,MIN 12,0,7,Matt Asiata up the middle for 5 yards (tackle by Dont'a Hightower and Chandler Jones),-0.350,-0.230
1,9:25,2,5,MIN 17,0,7,"Penalty on Brandon Fusco: False Start, 5 yards (no play)",-0.230,-0.780
1,8:41,2,10,MIN 12,0,7,"Matt Asiata right tackle for 4 yards (tackle by Rob Ninkovich). Penalty on Sealver Siliga: Illegal Use of Hands, 5 yards",-0.780,0.340
1,8:16,1,10,MIN 21,0,7,Matt Asiata left guard for -1 yards (tackle by Jerod Mayo),0.340,-0.340
1,7:37,2,11,MIN 20,0,7,"Penalty on John Sullivan: False Start, 5 yards (no play)",-0.340,-1.140
1,7:16,2,16,MIN 15,0,7,Matt Cassel pass incomplete deep left intended for Jarius Wright is intercepted by Devin McCourty at NWE-39 and returned for 60 yards,-1.140,-6.970
1,6:57,1,1,MIN 1,0,7,Stevan Ridley right guard for no gain (tackle by Chad Greenway),6.970,5.910
1,6:57,2,1,MIN 1,6,7,"Stevan Ridley left guard for 1 yard, touchdown",5.910,7.000
1,6:57,,,MIN 2,7,7,Stephen Gostkowski kicks extra point good,0.000,0.000
1,6:57,,,NWE 35,7,7,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.280
1,6:14,1,10,MIN 20,7,7,Matt Asiata right end for -2 yards (tackle by Jerod Mayo),0.280,-0.630
1,5:39,2,12,MIN 18,7,7,Matt Cassel pass complete short middle to Cordarrelle Patterson for 3 yards (tackle by Dont'a Hightower),-0.630,-0.820
1,4:59,3,9,MIN 21,7,7,Matt Cassel pass incomplete short left intended for Greg Jennings,-0.820,-1.960
1,4:54,4,9,MIN 21,7,7,"Jeff Locke punts 43 yards, returned by Julian Edelman for 4 yards (tackle by Cullen Loeffler). Penalty on Don Jones: Offensive Holding, 10 yards",-1.960,-0.940
1,4:43,1,10,NWE 30,7,7,Tom Brady pass complete short middle to Aaron Dobson for 13 yards (tackle by Xavier Rhodes),0.940,1.800
1,3:55,1,10,NWE 43,7,7,Stevan Ridley right tackle for 5 yards (tackle by Jasper Brinkley),1.800,1.930
1,3:35,2,5,NWE 48,7,7,Stevan Ridley left tackle for 3 yards (tackle by Jasper Brinkley),1.930,1.620
1,2:59,3,2,MIN 49,7,7,Julian Edelman right end for 9 yards (tackle by Xavier Rhodes),1.620,2.920
1,2:28,1,10,MIN 40,7,7,Tom Brady pass complete short left to James Develin for 13 yards (tackle by Harrison Smith),2.920,3.780
1,1:45,1,10,MIN 27,7,7,Tom Brady pass incomplete short middle intended for Rob Gronkowski,3.780,3.230
1,1:42,2,10,MIN 27,7,7,"Stevan Ridley left guard for 2 yards (tackle by Harrison Smith). Penalty on Marcus Cannon: Offensive Holding, 10 yards",3.230,2.150
1,1:23,2,18,MIN 35,7,7,Shane Vereen right guard for 7 yards (tackle by Robert Blanton),2.150,2.410
1,0:49,3,11,MIN 28,7,7,"Tom Brady pass complete short left to Julian Edelman for -2 yards. Julian Edelman fumbles, recovered by Daniel Connolly at MIN-30",2.410,2.410
1,0:36,3,11,MIN 28,7,7,Timeout #1 by New England Patriots,2.410,1.410
1,0:36,4,13,MIN 30,10,7,Stephen Gostkowski 48 yard field goal good,1.410,3.000
1,0:36,,,NWE 35,10,7,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.280
1,0:32,1,10,MIN 20,10,7,Matt Cassel sacked by Chandler Jones for -3 yards,0.280,-0.790
Quarter,Time,Down,ToGo,Location,NWE,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,13,MIN 17,10,7,Matt Asiata left guard for 3 yards (tackle by Sealver Siliga and Deontae Skinner),-0.790,-0.960
2,14:18,3,10,MIN 20,10,7,"Matt Cassel pass incomplete short right intended for Kyle Rudolph. Penalty on Darrelle Revis: Defensive Holding, 5 yards (no play)",-0.960,0.610
2,14:13,1,10,MIN 25,10,7,Matt Cassel left end for 13 yards (tackle by Darrelle Revis),0.610,1.470
2,13:42,1,10,MIN 38,10,7,Matt Cassel pass incomplete short right intended for Adam Thielen,1.470,0.920
2,13:37,2,10,MIN 38,10,7,Matt Cassel pass incomplete deep right intended for Greg Jennings is intercepted by Darrelle Revis at NWE-39,0.920,-1.530
2,13:30,1,10,NWE 39,10,7,Brandon Bolden left end for no gain (tackle by Linval Joseph and Jasper Brinkley),1.530,0.990
2,12:46,2,10,NWE 39,10,7,Tom Brady pass complete short left to Michael Hoomanawanui for 6 yards (tackle by Harrison Smith),0.990,1.090
2,12:04,3,4,NWE 45,10,7,"Tom Brady pass complete deep right to Danny Amendola for 26 yards (tackle by Harrison Smith). Penalty on Aaron Dobson: Offensive Pass Interference, 10 yards (no play)",1.090,-0.230
2,11:47,3,14,NWE 35,10,7,Tom Brady pass complete short left to Julian Edelman for 44 yards (tackle by Harrison Smith),-0.230,4.170
2,11:38,1,10,MIN 21,10,7,Brandon Bolden right guard for 2 yards (tackle by Anthony Barr),4.170,3.900
2,10:59,2,8,MIN 19,10,7,Tom Brady pass complete short right to James Develin for 4 yards (tackle by Anthony Barr),3.900,3.810
