Unnamed: 0,NWE,MIN
First Downs,16,17
Rush-Yds-TDs,37-150-1,19-54-0
Cmp-Att-Yd-TD-INT,14-21-149-1-0,19-36-202-1-4
Sacked-Yards,1-7,6-39
Net Pass Yards,142,163
Total Yards,292,217
Fumbles-Lost,1-0,1-0
Turnovers,0,4
Penalties-Yards,15-163,7-58
Third Down Conv.,5-14,4-11
Fourth Down Conv.,0-1,0-1
Time of Possession,31:34,28:26
