Unnamed: 0,ATL,OAK
First Downs,30,3
Rush-Yds-TDs,57-252-1,11-67-0
Cmp-Att-Yd-TD-INT,17-22-220-2-0,6-19-31-0-1
Sacked-Yards,3-19,4-21
Net Pass Yards,201,10
Total Yards,453,77
Fumbles-Lost,1-1,2-1
Turnovers,1,2
Penalties-Yards,4-40,7-55
Third Down Conv.,9-17,1-9
Fourth Down Conv.,1-2,0-1
Time of Possession,45:15,14:45
