Quarter,Time,Down,ToGo,Location,ATL,OAK,Detail,EPB,EPA
2,12:49,1,10,OAK 20,21,0,JaMarcus Russell pass incomplete short right intended for Chaz Schilens (defended by Domonique Foxworth),0.280,-0.270
2,12:41,2,10,OAK 20,21,0,Justin Fargas right tackle for 3 yards (tackle by Jonathan Babineaux),-0.270,-0.560
2,12:06,3,7,OAK 23,21,0,"JaMarcus Russell sacked by John Abraham for -8 yards. JaMarcus Russell fumbles (forced by John Abraham), recovered by JaMarcus Russell at OAK-15",-0.560,-2.440
2,11:44,4,15,OAK 15,21,0,"Shane Lechler punts 64 yards, returned by Harry Douglas for 7 yards (tackle by Ronald Curry)",-2.440,-0.810
2,11:31,1,10,ATL 28,21,0,Matt Ryan pass complete short left to Justin Peelle for 15 yards (tackle by Hiram Eugene),0.810,1.800
2,11:05,1,10,ATL 43,21,0,Michael Turner left tackle for 6 yards (tackle by Nnamdi Asomugha and Kirk Morrison),1.800,2.060
2,10:24,2,4,ATL 49,21,0,Michael Turner left guard for 3 yards (tackle by Nnamdi Asomugha and Sam Williams),2.060,1.750
2,9:39,3,1,OAK 48,21,0,Michael Turner up the middle for 4 yards (tackle by Thomas Howard),1.750,2.650
2,9:06,1,10,OAK 44,21,0,Matt Ryan pass complete short right to Roddy White for 13 yards (tackle by DeAngelo Hall),2.650,3.510
2,8:22,1,10,OAK 31,21,0,Michael Turner up the middle for 7 yards (tackle by Kalimba Edwards and Nnamdi Asomugha),3.510,3.910
2,7:47,2,3,OAK 24,21,0,Jerious Norwood up the middle for no gain (tackle by Kirk Morrison),3.910,3.200
2,7:05,3,3,OAK 24,21,0,Matt Ryan sacked by Trevor Scott for -6 yards,3.200,1.410
2,6:35,4,9,OAK 30,24,0,Jason Elam 48 yard field goal good,1.410,3.000
2,,,,ATL 30,24,0,"Michael Koenen kicks off 72 yards, returned by Johnnie Lee Higgins for 23 yards (tackle by Ovie Mughelli)",0.000,0.340
2,6:24,1,10,OAK 21,24,0,--,0.340,-0.220
2,6:24,1,15,OAK 16,24,0,JaMarcus Russell pass complete short middle to Zach Miller for 6 yards (tackle by Keith Brooking),-0.220,-0.070
2,5:54,2,9,OAK 22,24,0,JaMarcus Russell sacked by John Abraham for 0 yards,-0.070,-0.760
2,5:14,3,9,OAK 22,24,0,JaMarcus Russell pass incomplete short middle intended for Michael Bush,-0.760,-1.900
2,5:09,4,9,OAK 22,24,0,Shane Lechler punts 47 yards,-1.900,-1.000
2,4:57,1,10,ATL 31,24,0,Michael Turner up the middle for 1 yard (tackle by Fred Wakefield),1.000,0.600
2,4:18,2,9,ATL 32,24,0,Matt Ryan pass complete short middle to Roddy White for 17 yards (tackle by DeAngelo Hall),0.600,2.190
2,3:42,1,10,ATL 49,24,0,Michael Turner right end for 5 yards (tackle by Gerard Warren),2.190,2.320
2,3:01,2,5,OAK 46,24,0,Jerious Norwood right tackle for 11 yards (tackle by Hiram Eugene),2.320,3.250
2,2:25,1,10,OAK 35,24,0,Michael Turner right end for 2 yards (tackle by Gibril Wilson and Tommy Kelly),3.250,2.970
2,2:00,2,8,OAK 33,24,0,Michael Turner left tackle for 6 yards (tackle by Kalimba Edwards and Gibril Wilson),2.970,3.070
2,1:20,3,2,OAK 27,24,0,Matt Ryan pass complete short middle to Jerious Norwood for 6 yards (tackle by Kirk Morrison),3.070,4.170
2,0:44,1,10,OAK 21,24,0,Michael Turner left end for -3 yards (tackle by Nnamdi Asomugha and Sam Williams),4.170,3.220
2,0:40,,,,24,0,Timeout #1 by Atlanta Falcons,0.000,3.220
2,0:40,2,13,OAK 24,24,0,Matt Ryan pass complete short left to Ovie Mughelli for 5 yards (tackle by Nnamdi Asomugha),3.220,3.180
2,0:27,,,,24,0,Timeout #2 by Atlanta Falcons,0.000,3.180
2,0:27,3,8,OAK 19,24,0,"Matt Ryan sacked by Gerard Warren for -3 yards. Matt Ryan fumbles (forced by Gerard Warren), recovered by Kalimba Edwards at OAK-23 (tackle by Justin Blalock)",3.180,-0.480
2,0:16,1,10,OAK 23,24,0,JaMarcus Russell sacked by John Abraham for -8 yards,0.480,-1.280
Quarter,Time,Down,ToGo,Location,ATL,OAK,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 30,24,0,"Michael Koenen kicks off 67 yards, returned by Johnnie Lee Higgins for 39 yards (tackle by Michael Koenen). Penalty on Kroy Biermann: Unnecessary Roughness, 15 yards",0.000,2.720
3,14:49,1,10,ATL 43,24,0,JaMarcus Russell pass incomplete short left intended for Zach Miller,2.720,2.180
3,14:43,2,10,ATL 43,24,0,Justin Fargas right end for 5 yards (tackle by Lawyer Milloy and Curtis Lofton),2.180,2.150
3,14:36,3,5,ATL 38,24,0,"Penalty on Kwame Harris: False Start, 5 yards (no play)",2.150,1.490
3,13:48,3,10,ATL 43,24,0,JaMarcus Russell pass incomplete short right intended for Johnnie Lee Higgins (defended by Chevis Jackson). Penalty on Cornell Green: Offensive Holding (Declined),1.490,0.400
3,13:41,4,10,ATL 43,24,0,Shane Lechler punts 37 yards,0.400,0.380
3,13:28,1,10,ATL 6,24,0,Michael Turner up the middle for 16 yards (tackle by Hiram Eugene),-0.380,0.410
3,12:48,1,10,ATL 22,24,0,Michael Turner left guard for 4 yards (tackle by Kirk Morrison),0.410,0.410
3,12:12,2,6,ATL 26,24,0,"Matt Ryan pass complete short right to Ovie Mughelli for no gain. Penalty on Nnamdi Asomugha: Defensive Holding, 5 yards (no play)",0.410,1.000
3,11:48,1,10,ATL 31,24,0,Michael Turner right guard for 14 yards (tackle by Tommy Kelly and Hiram Eugene),1.000,1.930
3,11:15,1,10,ATL 45,24,0,Jerious Norwood right end for 1 yard (tackle by Gibril Wilson),1.930,1.520
3,11:00,2,9,ATL 46,24,0,Harry Douglas left end for 2 yards (tackle by Kirk Morrison),1.520,1.090
3,10:18,3,7,ATL 48,24,0,Matt Ryan pass incomplete short middle intended for Jerious Norwood,1.090,-0.190
3,10:14,4,7,ATL 48,24,0,"Michael Koenen punts 33 yards, fair catch by Johnnie Lee Higgins",-0.190,-0.150
3,10:06,1,10,OAK 19,24,0,JaMarcus Russell pass complete short left to Michael Bush for 6 yards (tackle by Michael Boley),0.150,0.480
3,9:33,2,4,OAK 25,24,0,Justin Fargas left end for 13 yards (tackle by Erik Coleman),0.480,1.470
3,9:03,1,10,OAK 38,24,0,JaMarcus Russell pass incomplete,1.470,0.920
3,8:56,2,10,OAK 38,24,0,Justin Fargas left end for no gain (tackle by John Abraham),0.920,0.230
3,8:17,3,10,OAK 38,24,0,"JaMarcus Russell sacked for -8 yards. JaMarcus Russell fumbles, recovered by Jonathan Babineaux at OAK-33 (tackle by Robert Gallery)",0.230,-3.380
,,,,,,,"OAK challenged the fumble ruling, and the play was upheld.",,
3,8:07,1,10,OAK 33,24,0,Jerious Norwood left end for 4 yards (tackle by Gibril Wilson),3.380,3.380
3,8:01,2,6,OAK 29,24,0,Matt Ryan pass incomplete,3.380,2.680
3,7:43,3,6,OAK 29,24,0,Matt Ryan pass complete short middle to Roddy White for 11 yards (tackle by Gibril Wilson),2.680,4.370
3,6:57,1,10,OAK 18,24,0,Michael Turner left end for 4 yards (tackle by Tommy Kelly),4.370,4.430
3,6:14,2,6,OAK 14,24,0,Michael Turner right end for 5 yards (tackle by DeAngelo Hall),4.430,4.740
3,5:26,,,,24,0,Timeout #1 by Atlanta Falcons,0.000,4.740
3,5:26,3,1,OAK 9,24,0,Matt Ryan up the middle for no gain (tackle by Kalimba Edwards),4.740,2.980
3,4:45,4,1,OAK 9,24,0,Michael Turner up the middle for no gain (tackle by Sam Williams),2.980,0.380
3,4:40,1,10,OAK 10,24,0,JaMarcus Russell pass incomplete short right intended for Luke Lawton,-0.380,-0.780
3,4:34,2,10,OAK 10,24,0,JaMarcus Russell pass complete short left to Javon Walker for 7 yards (tackle by Chris Houston),-0.780,-0.600
3,3:54,3,3,OAK 17,24,0,JaMarcus Russell pass incomplete short left intended for Michael Bush,-0.600,-2.320
3,3:50,4,3,OAK 17,24,0,Shane Lechler punts 38 yards,-2.320,-1.930
3,3:42,1,10,ATL 45,24,0,Michael Turner up the middle for 2 yards (tackle by Terdell Sands and Tommy Kelly),1.930,1.650
3,3:02,2,8,ATL 47,24,0,Jerious Norwood left tackle for 3 yards (tackle by Gibril Wilson),1.650,1.360
3,2:24,3,5,,24,0,Matt Ryan pass complete short right to Roddy White for 11 yards (tackle by Kirk Morrison),1.360,2.980
3,1:44,1,10,OAK 39,24,0,Jerious Norwood right end for 12 yards (tackle by Thomas Howard),2.980,3.780
3,1:13,1,10,OAK 27,24,0,Michael Turner left tackle for 3 yards (tackle by Sam Williams),3.780,3.640
3,0:30,2,7,OAK 24,24,0,Jerious Norwood right tackle for no gain (tackle by Thomas Howard),3.640,2.940
Quarter,Time,Down,ToGo,Location,ATL,OAK,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,7,OAK 24,24,0,Matt Ryan sacked by Kalimba Edwards for -9 yards,2.940,1.150
4,14:25,4,16,OAK 33,24,0,Jason Elam 51 yard field goal no good,1.150,-1.660
4,14:21,1,10,OAK 41,24,0,JaMarcus Russell left end for 24 yards (tackle by Curtis Lofton),1.660,3.250
4,13:55,1,10,ATL 35,24,0,Michael Bush left end for -4 yards (tackle by Chauncey Davis),3.250,2.160
4,13:19,2,14,ATL 39,24,0,JaMarcus Russell pass incomplete short right intended for John Madsen,2.160,1.490
4,13:14,3,14,ATL 39,24,0,Michael Bush up the middle for -3 yards (tackle by Kindal Moorehead),1.490,0.460
4,12:36,4,17,ATL 42,24,0,JaMarcus Russell pass incomplete,0.460,-1.800
4,12:26,1,10,ATL 43,24,0,Jerious Norwood left end for -7 yards (tackle by Nnamdi Asomugha),1.800,0.310
4,11:51,2,17,ATL 36,24,0,Matt Ryan pass complete short left to Ben Hartsock for 2 yards (tackle by Michael Huff),0.310,-0.100
4,11:08,3,15,ATL 38,24,0,Matt Ryan pass complete short right to Jason Snelling for 12 yards (tackle by Tommy Kelly),-0.100,-0.060
4,10:09,4,3,,24,0,Michael Koenen punts no gain,-0.060,-2.520
4,9:56,1,10,ATL 46,24,0,JaMarcus Russell pass complete short left to Michael Bush for 4 yards (tackle by Curtis Lofton),2.520,2.520
4,9:19,2,6,ATL 42,24,0,JaMarcus Russell pass complete short right to Michael Bush for 5 yards (tackle by Jason Jefferson),2.520,2.480
4,8:41,3,1,ATL 37,24,0,JaMarcus Russell for 22 yards (tackle by Erik Coleman),2.480,4.580
4,8:10,1,10,ATL 15,24,0,Michael Bush up the middle for 5 yards (tackle by Domonique Foxworth),4.580,4.840
4,7:35,2,5,ATL 10,24,0,JaMarcus Russell pass incomplete short middle intended for Javon Walker is intercepted by Erik Coleman,4.840,-0.280
4,7:27,1,10,ATL 20,24,0,Michael Turner right tackle for 9 yards (tackle by DeAngelo Hall and Hiram Eugene),0.280,0.950
4,6:41,2,1,ATL 29,24,0,Jason Snelling up the middle for 8 yards (tackle by Nnamdi Asomugha),0.950,1.400
4,5:58,1,10,ATL 37,24,0,Jason Snelling left tackle for 13 yards (tackle by Gibril Wilson),1.400,2.260
4,5:11,1,10,,24,0,Jason Snelling right tackle for 2 yards (tackle by Kirk Morrison),2.260,1.980
4,4:27,2,8,OAK 48,24,0,Jason Snelling up the middle for 1 yard (tackle by Kirk Morrison and Fred Wakefield),1.980,1.420
4,3:42,3,7,OAK 47,24,0,Jason Snelling up the middle for 6 yards (tackle by Gerard Warren and Kirk Morrison),1.420,0.530
4,3:24,4,1,OAK 41,24,0,"Penalty on Kalimba Edwards: Encroachment, 5 yards (no play)",0.530,3.180
4,3:15,1,10,OAK 36,24,0,"Jason Snelling up the middle for no gain (tackle by Jay Richardson). Penalty on Wayne Gandy: Illegal Formation, 5 yards (no play)",3.180,2.850
4,3:10,1,15,OAK 41,24,0,Jason Snelling left end for 7 yards (tackle by Kalimba Edwards),2.850,2.910
4,2:22,2,8,OAK 34,24,0,Jason Snelling right tackle for 5 yards (tackle by Hiram Eugene),2.910,2.870
4,2:00,3,3,OAK 29,24,0,Jason Snelling up the middle for 5 yards (tackle by DeAngelo Hall),2.870,3.970
4,1:56,1,10,OAK 24,24,0,Matt Ryan kneels for -1 yards,3.970,3.300
4,0:38,2,11,OAK 25,24,0,Matt Ryan kneels for -1 yards,3.300,2.480
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
