Quarter,Time,Tm,Detail,ATL,OAK
1.0,8:56,Falcons,Michael Jenkins 37 yard pass from Matt Ryan (Jason Elam kick),7,0
,5:02,Falcons,Jerious Norwood 12 yard rush (Jason Elam kick),14,0
2.0,12:54,Falcons,Michael Jenkins 27 yard pass from Matt Ryan (Jason Elam kick),21,0
,6:29,Falcons,Jason Elam 48 yard field goal,24,0
