Quarter,Time,Down,ToGo,Location,BUF,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss and deferred, Chiefs to receive the opening kickoff.",,
1,15:00,,,BUF 35,0,0,"Tyler Bass kicks off 55 yards,",0.000,0.610
1,15:00,1,10,KAN 25,0,0,Clyde Edwards-Helaire right guard for 5 yards (tackle by Jordan Phillips and Terrel Bernard),0.610,0.740
1,14:30,2,5,KAN 30,0,0,Patrick Mahomes pass complete short right to Travis Kelce for 7 yards (tackle by Taron Johnson),0.740,1.400
1,13:57,1,10,KAN 37,0,0,Patrick Mahomes pass complete short left to Kadarius Toney for 9 yards (tackle by Christian Benford),1.400,2.070
1,13:20,2,1,KAN 46,0,0,Clyde Edwards-Helaire right end for 5 yards (tackle by Taron Johnson),2.070,2.320
1,12:44,1,10,BUF 49,0,0,Patrick Mahomes pass incomplete deep right intended for Travis Kelce,2.320,1.780
1,12:37,2,10,BUF 49,0,0,Kadarius Toney right end for 14 yards (tackle by Micah Hyde and Rasul Douglas),1.780,3.250
1,12:09,1,10,BUF 35,0,0,Clyde Edwards-Helaire left end for 5 yards (tackle by Linval Joseph),3.250,3.380
1,11:36,2,5,BUF 30,0,0,Patrick Mahomes pass short left intended for Clyde Edwards-Helaire is intercepted by A.J. Epenesa at BUF-41 and returned for 6 yards (tackle by Patrick Mahomes),3.380,-2.060
1,11:30,1,10,BUF 47,0,0,Josh Allen pass complete short right to James Cook for 12 yards (tackle by Mike Edwards),2.060,2.850
1,10:48,1,10,KAN 41,0,0,James Cook right guard for 1 yard (tackle by Derrick Nnadi and Nick Bolton),2.850,2.440
1,10:04,2,9,KAN 40,0,0,Josh Allen pass incomplete short right intended for Stefon Diggs,2.440,1.750
1,9:58,3,9,KAN 40,0,0,Josh Allen pass incomplete short left,1.750,0.590
1,9:50,4,9,KAN 40,0,0,"Sam Martin punts 35 yards, returned by Richie James for 7 yards (tackle by Taylor Rapp)",0.590,0.350
1,9:39,1,10,KAN 12,0,0,Patrick Mahomes pass complete short left to Clyde Edwards-Helaire for 9 yards (tackle by Tyrel Dodson),-0.350,0.420
1,9:02,2,1,KAN 21,0,0,Clyde Edwards-Helaire left end for 6 yards (tackle by Micah Hyde),0.420,0.740
1,8:29,1,10,KAN 27,0,0,Jerick McKinnon right end for 3 yards (tackle by Tyrel Dodson),0.740,0.600
1,7:57,2,7,KAN 30,0,0,Patrick Mahomes pass incomplete short left,0.600,-0.100
1,7:53,3,7,KAN 30,0,0,Patrick Mahomes sacked by and Ed Oliver for -7 yards and Gregory Rousseau for -7 yards,-0.100,-1.830
1,7:18,4,14,KAN 23,0,0,"Tommy Townsend punts 39 yards, returned by Deonte Harty for 9 yards (tackle by Leo Chenal)",-1.830,-2.060
1,7:07,1,10,BUF 47,0,0,Josh Allen right guard for 4 yards (tackle by Michael Danna and Charles Omenihu),2.060,2.060
1,6:28,2,6,KAN 49,0,0,Josh Allen pass complete short right to Dawson Knox for 11 yards (tackle by Justin Reid),2.060,3.050
1,5:47,1,10,KAN 38,0,0,Josh Allen scrambles left end for 8 yards (tackle by Mike Edwards),3.050,3.590
1,5:13,2,2,KAN 30,0,0,Josh Allen pass complete short right to Stefon Diggs for 3 yards (tackle by L'Jarius Sneed),3.590,3.780
1,4:27,1,10,KAN 27,0,0,James Cook right end for 2 yards (tackle by Nick Bolton and George Karlaftis),3.780,3.500
