Quarter,Time,Tm,Detail,SEA,GNB
1,7:01,Seahawks,Josh Brown 30 yard field goal,3,0
2,9:13,Packers,Ryan Longwell 31 yard field goal,3,3
,6:50,Seahawks,Josh Brown 35 yard field goal,6,3
,4:37,Packers,Bubba Franks 23 yard pass from Brett Favre (Ryan Longwell kick),6,10
,0:46,Packers,Ryan Longwell 27 yard field goal,6,13
3,9:28,Seahawks,Shaun Alexander 1 yard rush (Josh Brown kick),13,13
,1:57,Seahawks,Shaun Alexander 1 yard rush (Josh Brown kick),20,13
4,10:01,Packers,Ahman Green 1 yard rush (Ryan Longwell kick),20,20
,2:44,Packers,Ahman Green 1 yard rush (Ryan Longwell kick),20,27
,0:51,Seahawks,Shaun Alexander 1 yard rush (Josh Brown kick),27,27
OT,10:35,Packers,Al Harris 52 yard interception return,27,33
