Unnamed: 0,SEA,GNB
First Downs,22,22
Rush-Yds-TDs,21-49-3,32-78-2
Cmp-Att-Yd-TD-INT,25-45-305-0-1,26-38-319-1-0
Sacked-Yards,2-14,0-0
Net Pass Yards,291,319
Total Yards,340,397
Fumbles-Lost,1-0,0-0
Turnovers,1,0
Penalties-Yards,2-15,5-30
Third Down Conv.,6-16,4-13
Fourth Down Conv.,1-1,2-2
Time of Possession,29:26,34:59
