Quarter,Time,Tm,Detail,NYG,CHI
1.0,9:50,Bears,Tim Jennings 48 yard interception return (Robbie Gould kick),0,7
,3:48,Giants,Brandon Jacobs 4 yard rush (Josh Brown kick),7,7
2.0,14:18,Bears,Brandon Marshall 10 yard pass from Jay Cutler (Robbie Gould kick),7,14
,10:31,Giants,Rueben Randle 37 yard pass from Eli Manning (Josh Brown kick),14,14
,5:20,Bears,Brandon Marshall 3 yard pass from Jay Cutler (Robbie Gould kick),14,21
,0:02,Bears,Robbie Gould 40 yard field goal,14,24
3.0,11:23,Bears,Robbie Gould 52 yard field goal,14,27
,0:06,Giants,Brandon Jacobs 1 yard rush (Josh Brown kick),21,27
