Unnamed: 0,NYG,CHI
First Downs,21,26
Rush-Yds-TDs,26-123-2,29-110-0
Cmp-Att-Yd-TD-INT,14-26-239-1-3,24-36-262-2-0
Sacked-Yards,1-7,0-0
Net Pass Yards,232,262
Total Yards,355,372
Fumbles-Lost,0-0,1-0
Turnovers,3,0
Penalties-Yards,4-31,5-51
Third Down Conv.,7-11,5-11
Fourth Down Conv.,0-0,0-1
Time of Possession,27:05,32:55
