Unnamed: 0,TAM,SFO
First Downs,22,22
Rush-Yds-TDs,18-66-1,30-115-0
Cmp-Att-Yd-TD-INT,29-45-246-1-1,21-25-333-3-0
Sacked-Yards,4-25,4-28
Net Pass Yards,221,305
Total Yards,287,420
Fumbles-Lost,2-1,0-0
Turnovers,2,0
Penalties-Yards,3-19,7-66
Third Down Conv.,7-14,4-10
Fourth Down Conv.,1-3,0-1
Time of Possession,29:09,30:51
