Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Rachaad White,TAM,9,30,1,4,24,2.7,6,0.7,0,
Chase Edmonds,TAM,4,8,0,1,8,2.0,0,0.0,0,
Baker Mayfield,TAM,3,5,0,1,5,1.7,0,0.0,0,
Trey Palmer,TAM,1,6,0,0,6,6.0,0,0.0,0,
Deven Thompkins,TAM,1,17,0,1,7,7.0,10,10.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Christian McCaffrey,SFO,21,78,0,4,56,2.7,22,1.0,1,21.0
Elijah Mitchell,SFO,4,24,0,1,19,4.8,5,1.3,0,
Brock Purdy,SFO,4,14,0,2,14,3.5,0,0.0,0,
Deebo Samuel,SFO,1,-1,0,0,-1,-1.0,0,0.0,0,
