Quarter,Time,Down,ToGo,Location,GNB,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Dolphins won the coin toss and deferred, Packers to receive the opening kickoff.",,
1,15:00,,,MIA 35,0,0,"Caleb Sturgis kicks off 65 yards, touchback",0.000,-0.280
1,14:59,1,10,GNB 20,0,0,Aaron Rodgers pass complete short right to Davante Adams for 5 yards (tackle by Jimmy Wilson),0.280,0.410
1,14:37,2,5,GNB 25,0,0,Aaron Rodgers pass complete short middle to Davante Adams for 18 yards (tackle by Cortland Finnegan and Louis Delmas),0.410,1.800
1,13:54,1,10,GNB 43,0,0,Eddie Lacy up the middle for 1 yard (tackle by Jelani Jenkins),1.800,1.390
1,13:16,2,9,GNB 44,0,0,Aaron Rodgers pass complete short left to Jordy Nelson for 9 yards (tackle by Brent Grimes),1.390,2.460
1,12:59,1,10,MIA 47,0,0,Eddie Lacy up the middle for no gain (tackle by Reshad Jones),2.460,1.910
1,12:12,2,10,MIA 47,0,0,Eddie Lacy left end for 2 yards (tackle by Olivier Vernon and Koa Misi),1.910,1.490
1,11:27,3,8,MIA 45,0,0,Aaron Rodgers up the middle for 8 yards (tackle by Reshad Jones),1.490,3.120
1,10:56,1,10,MIA 37,0,0,Aaron Rodgers pass complete deep right to Randall Cobb for 28 yards (tackle by Louis Delmas),3.120,5.140
1,10:13,1,9,MIA 9,6,0,"Aaron Rodgers pass complete short middle to Jordy Nelson for 9 yards, touchdown",5.140,7.000
1,10:13,,,MIA 2,7,0,Mason Crosby kicks extra point good,0.000,0.000
1,10:13,,,GNB 35,7,0,"Mason Crosby kicks off 68 yards, returned by Jarvis Landry for 54 yards (tackle by Mason Crosby)",0.000,-2.320
1,10:00,1,10,GNB 49,7,0,Ryan Tannehill pass complete short left to Lamar Miller for 9 yards (tackle by Micah Hyde),2.320,3.000
1,9:33,2,1,GNB 40,7,0,Ryan Tannehill left end for 3 yards (tackle by Davon House),3.000,3.120
1,9:07,1,10,GNB 37,7,0,Lamar Miller left tackle for 3 yards (tackle by Jamari Lattimore),3.120,2.980
1,8:30,2,7,GNB 34,7,0,Ryan Tannehill pass incomplete short right intended for Jarvis Landry,2.980,2.280
1,8:24,3,7,GNB 34,7,0,Ryan Tannehill pass incomplete deep left intended for Dion Sims,2.280,1.060
1,8:24,4,7,GNB 34,7,0,"Penalty on Julius Peppers: Neutral Zone Infraction, 5 yards (no play)",1.060,1.600
1,8:20,4,2,GNB 29,7,3,Caleb Sturgis 48 yard field goal good,1.600,3.000
1,8:20,,,MIA 35,7,3,"Caleb Sturgis kicks off 65 yards, touchback",0.000,-0.280
1,8:15,1,10,GNB 20,7,3,James Starks left tackle for 1 yard (tackle by Olivier Vernon),0.280,-0.130
1,7:39,2,9,GNB 21,7,3,James Starks right tackle for no gain (tackle by Earl Mitchell),-0.130,-0.820
1,6:51,3,9,GNB 21,7,3,Aaron Rodgers pass complete short left to Davante Adams for 11 yards (tackle by Cortland Finnegan and Louis Delmas),-0.820,1.070
1,6:17,1,10,GNB 32,7,3,James Starks right end for -3 yards (tackle by Earl Mitchell),1.070,0.120
1,5:31,2,13,GNB 29,7,3,Aaron Rodgers left end for 2 yards (tackle by Koa Misi),0.120,-0.290
1,4:49,3,11,GNB 31,7,3,Aaron Rodgers sacked by Cameron Wake for -6 yards,-0.290,-1.700
1,4:25,4,17,GNB 25,7,3,"Tim Masthay punts, blocked by Jonathan Freeny, recovered by Chris McCain",-1.700,-4.510
1,4:02,1,10,GNB 16,7,3,Ryan Tannehill pass complete short right to Mike Wallace for 1 yard (tackle by Letroy Guion),4.510,4.050
1,3:38,2,9,GNB 15,7,3,Knowshon Moreno left guard for 2 yards (tackle by Julius Peppers),4.050,3.540
1,3:14,3,7,GNB 13,7,3,Ryan Tannehill pass complete short middle to Jarvis Landry for 9 yards (tackle by Tramon Williams),3.540,6.280
1,2:57,1,4,GNB 4,7,3,Knowshon Moreno left guard for 3 yards (tackle by Micah Hyde),6.280,5.910
1,2:37,2,1,GNB 1,7,3,Knowshon Moreno up the middle for no gain (tackle by Letroy Guion),5.910,5.170
1,2:05,3,1,GNB 1,7,3,Ryan Tannehill pass incomplete short middle intended for Brian Hartline (defended by Davon House),5.170,3.550
1,2:01,4,1,GNB 1,7,3,Knowshon Moreno up the middle for -2 yards (tackle by Morgan Burnett and Jamari Lattimore),3.550,0.380
1,1:54,1,10,GNB 4,7,3,John Kuhn right guard for 5 yards (tackle by Olivier Vernon),-0.380,-0.420
1,1:17,2,5,GNB 9,7,3,John Kuhn left guard for 4 yards (tackle by Jelani Jenkins),-0.420,-0.370
1,0:35,3,1,GNB 13,7,3,Eddie Lacy left tackle for 2 yards (tackle by Olivier Vernon),-0.370,-0.220
Quarter,Time,Down,ToGo,Location,GNB,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,GNB 15,7,3,Aaron Rodgers right end for 6 yards (tackle by Terrence Fede),-0.220,0.210
2,14:28,2,4,GNB 21,7,3,Aaron Rodgers pass incomplete short right intended for Davante Adams (defended by Cortland Finnegan),0.210,-0.630
2,14:22,3,4,GNB 21,7,3,Aaron Rodgers pass complete short left to Randall Cobb for 14 yards (tackle by Jimmy Wilson),-0.630,1.270
2,13:42,1,10,GNB 35,7,3,Aaron Rodgers pass incomplete short left intended for Jordy Nelson,1.270,1.270
2,13:36,1,10,GNB 35,7,3,Timeout #1 by Green Bay Packers,1.270,0.720
2,13:36,2,10,GNB 35,7,3,Aaron Rodgers pass incomplete short middle intended for James Starks,0.720,0.040
2,13:32,3,10,GNB 35,7,3,Aaron Rodgers pass incomplete short left intended for Jordy Nelson (defended by Brent Grimes),0.040,-1.040
2,13:28,4,10,GNB 35,7,3,"Tim Masthay punts 38 yards, out of bounds",-1.040,-0.740
2,13:21,1,10,MIA 27,7,3,Lamar Miller up the middle for -9 yards (tackle by Ha Ha Clinton-Dix),0.740,-1.120
2,12:42,2,19,MIA 18,7,3,Ryan Tannehill pass complete short middle to Charles Clay for 7 yards (tackle by Ha Ha Clinton-Dix),-1.120,-0.760
2,12:15,3,12,MIA 25,7,3,Ryan Tannehill pass incomplete deep right intended for Jarvis Landry is intercepted by Casey Hayward at MIA-46 and returned for 10 yards,-0.760,-3.180
2,11:57,1,10,MIA 36,7,3,Eddie Lacy right guard for 3 yards (tackle by Terrence Fede),3.180,3.040
2,11:14,2,7,MIA 33,7,3,Aaron Rodgers pass complete short left to Jordy Nelson for 14 yards (tackle by Brent Grimes),3.040,4.310
2,10:29,1,10,MIA 19,7,3,John Kuhn up the middle for 4 yards (tackle by Reshad Jones),4.310,4.350
