Quarter,Time,Tm,Detail,GNB,MIA
1.0,10:09,Packers,Jordy Nelson 9 yard pass from Aaron Rodgers (Mason Crosby kick),7,0
,8:15,Dolphins,Caleb Sturgis 48 yard field goal,7,3
2.0,8:08,Packers,Mason Crosby 43 yard field goal,10,3
3.0,11:48,Dolphins,Jarvis Landry 11 yard pass from Ryan Tannehill (Caleb Sturgis kick),10,10
,3:44,Packers,Randall Cobb 5 yard pass from Aaron Rodgers (Mason Crosby kick),17,10
4.0,13:42,Dolphins,Lamar Miller 5 yard rush (Caleb Sturgis kick),17,17
,9:13,Dolphins,Mike Wallace 5 yard pass from Ryan Tannehill (Caleb Sturgis kick),17,24
,4:09,Packers,Mason Crosby 30 yard field goal,20,24
,0:03,Packers,Andrew Quarless 4 yard pass from Aaron Rodgers (Mason Crosby kick),27,24
