Unnamed: 0,GNB,MIA
First Downs,27,19
Rush-Yds-TDs,34-121-0,23-112-1
Cmp-Att-Yd-TD-INT,24-42-264-3-0,20-31-244-2-2
Sacked-Yards,3-16,1-7
Net Pass Yards,248,237
Total Yards,369,349
Fumbles-Lost,1-0,1-1
Turnovers,0,3
Penalties-Yards,4-44,5-25
Third Down Conv.,8-17,4-10
Fourth Down Conv.,1-1,0-1
Time of Possession,37:12,22:48
