Quarter,Time,Down,ToGo,Location,CAR,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,CAR 30,0,0,"John Kasay kicks off 61 yards, returned by Reno Mahe for 18 yards (tackle by Colin Branch)",0.000,0.740
1,14:55,1,10,PHI 27,0,0,Jeff Garcia pass incomplete short right intended for L.J. Smith,0.740,0.200
1,14:51,2,10,PHI 27,0,0,Brian Westbrook right tackle for 2 yards (tackle by Julius Peppers),0.200,-0.230
1,14:14,3,8,PHI 29,0,0,Jeff Garcia pass incomplete deep right intended for Donte' Stallworth,-0.230,-1.440
1,14:06,4,8,PHI 29,0,0,"Dirk Johnson punts 40 yards, returned by Chris Gamble for 6 yards (tackle by Michael Lewis)",-1.440,-1.400
1,13:56,1,10,CAR 37,0,0,DeAngelo Williams right guard for no gain (tackle by Mike Patterson and Jeremiah Trotter),1.400,0.860
1,13:22,2,10,CAR 37,0,0,DeAngelo Williams right tackle for 3 yards (tackle by Omar Gaither),0.860,0.560
1,12:41,3,7,CAR 40,0,0,Jake Delhomme pass incomplete short left intended for Nick Goings (defended by Roderick Hood),0.560,-0.720
1,12:37,4,7,CAR 40,0,0,"Jason Baker punts 48 yards, fair catch by Reno Mahe",-0.720,0.350
1,12:30,1,10,PHI 12,0,0,Jeff Garcia pass incomplete deep left intended for Donte' Stallworth,-0.350,-0.780
1,12:24,2,10,PHI 12,0,0,"Brian Westbrook right tackle for no gain (tackle by Ma'ake Kemoeatu). Penalty on Shawn Andrews: Offensive Holding, 6 yards (no play)",-0.780,-1.220
1,12:00,2,16,PHI 6,0,0,Brian Westbrook for 3 yards (tackle by Mike Minter),-1.220,-1.770
1,11:29,3,13,PHI 9,0,0,Jeff Garcia pass complete short right to Correll Buckhalter for 5 yards (tackle by Mike Minter and Ken Lucas),-1.770,-2.470
1,10:49,4,8,PHI 14,0,0,"Dirk Johnson punts 51 yards, returned by Chris Gamble for 2 yards (tackle by Sean Considine)",-2.470,-1.400
1,10:36,1,10,CAR 37,0,0,Jake Delhomme pass complete short right to Brad Hoover for 3 yards (tackle by Lito Sheppard),1.400,1.260
1,9:58,2,7,CAR 40,0,0,DeAngelo Williams left tackle for 5 yards (tackle by Omar Gaither),1.260,1.220
1,9:15,3,2,CAR 45,0,0,DeAngelo Williams middle for 2 yards (tackle by Brian Dawkins),1.220,2.060
1,8:35,1,10,CAR 47,0,0,Jake Delhomme pass complete short left to DeAngelo Williams for 41 yards (tackle by Sheldon Brown),2.060,4.780
1,7:47,1,10,PHI 12,0,0,Eric Shelton middle for 3 yards (tackle by Trent Cole),4.780,4.640
1,7:10,2,7,PHI 9,0,0,Jake Delhomme pass incomplete short right intended for Keyshawn Johnson (defended by Lito Sheppard),4.640,3.700
1,7:05,3,7,PHI 9,6,0,"Jake Delhomme pass complete short left to Steve Smith for 9 yards, touchdown",3.700,7.000
1,,,,PHI 2,7,0,John Kasay kicks extra point good,0.000,0.000
1,,,,CAR 30,7,0,"John Kasay kicks off 57 yards, returned by Reno Mahe for 13 yards (tackle by Eric Shelton)",0.000,0.670
1,6:57,1,10,PHI 26,7,0,Brian Westbrook middle for no gain (tackle by Chris Draft),0.670,0.130
1,6:20,2,10,PHI 26,7,0,Jeff Garcia pass incomplete short right intended for Reggie Brown,0.130,-0.560
1,6:13,3,10,PHI 26,7,0,Jeff Garcia pass complete short left to Greg Lewis for 14 yards (tackle by Shaun Williams),-0.560,1.600
1,5:32,1,10,PHI 40,7,0,Jeff Garcia pass complete deep right to Hank Baskett for 22 yards (tackle by Richard Marshall),1.600,3.050
1,4:50,1,10,CAR 38,7,0,Jeff Garcia pass complete short right to Brian Westbrook for 4 yards (tackle by Chris Draft),3.050,3.050
1,4:06,2,6,CAR 34,7,0,Jeff Garcia pass incomplete short right intended for L.J. Smith,3.050,2.340
1,4:03,3,6,CAR 34,7,0,"Jeff Garcia sacked by Mike Rucker for -6 yards. Jeff Garcia fumbles (forced by Mike Rucker), recovered by Jeff Garcia at CAR-42",2.340,0.460
1,3:38,4,14,CAR 42,7,0,Dirk Johnson punts 32 yards,0.460,0.380
1,3:29,1,10,CAR 10,7,0,Jake Delhomme pass complete short left to Kris Mangum for 7 yards (tackle by Sheldon Brown),-0.380,-0.090
1,3:00,2,3,CAR 17,7,0,Jake Delhomme pass complete short left to Kris Mangum for 16 yards (tackle by Roderick Hood),-0.090,1.140
1,2:28,1,10,CAR 33,7,0,DeAngelo Williams left tackle for 3 yards (tackle by Jeremiah Trotter),1.140,1.000
1,1:49,2,7,CAR 36,7,0,DeAngelo Williams left guard for 4 yards (tackle by Jeremiah Trotter),1.000,0.830
1,1:09,3,3,CAR 40,7,0,Jake Delhomme pass complete short right to DeAngelo Williams for 2 yards (tackle by Omar Gaither),0.830,-0.590
1,0:32,4,1,CAR 42,7,0,"Jason Baker punts 47 yards, returned by Reno Mahe for 6 yards (tackle by Thomas Davis)",-0.590,0.060
1,0:20,1,10,PHI 17,7,0,Jeff Garcia pass incomplete short left intended for Correll Buckhalter,-0.060,-0.580
1,0:15,2,10,PHI 17,7,0,Brian Westbrook right end for no gain (tackle by Kris Jenkins),-0.580,-1.250
Quarter,Time,Down,ToGo,Location,CAR,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,10,PHI 17,7,0,Jeff Garcia pass incomplete deep right intended for Donte' Stallworth,-1.250,-2.320
2,14:55,4,10,PHI 17,7,0,Dirk Johnson punts 60 yards,-2.320,-0.480
2,14:42,1,10,CAR 23,7,0,DeAngelo Williams left end for 2 yards (tackle by Omar Gaither and Jeremiah Trotter),0.480,0.200
