Unnamed: 0,CAR,PHI
First Downs,18,18
Rush-Yds-TDs,23-108-0,27-98-0
Cmp-Att-Yd-TD-INT,22-37-269-3-2,21-39-312-3-0
Sacked-Yards,0-0,1-8
Net Pass Yards,269,304
Total Yards,377,402
Fumbles-Lost,1-0,2-0
Turnovers,2,0
Penalties-Yards,7-67,8-72
Third Down Conv.,4-13,7-17
Fourth Down Conv.,0-0,0-0
Time of Possession,27:37,32:23
