Unnamed: 0,LAR,ARI
First Downs,30,18
Rush-Yds-TDs,31-119-3,21-92-1
Cmp-Att-Yd-TD-INT,37-47-351-1-0,21-39-173-3-1
Sacked-Yards,1-7,2-33
Net Pass Yards,344,140
Total Yards,463,232
Fumbles-Lost,1-1,2-1
Turnovers,1,2
Penalties-Yards,6-75,5-21
Third Down Conv.,9-15,4-12
Fourth Down Conv.,1-3,2-2
Time of Possession,38:53,21:07
